group,CD20,CD69,CD279,CD16,CD1c,CD38,CD94
healthy,-0.259153516979487,0.0569016148941526,-0.276437777033151,0.203670601718551,-0.162293957314417,-0.0283704448431327,-0.355020238363966
healthy,-0.155144122361401,-0.0306394675917962,0.0761590476882359,0.120413236558286,0.004025401658187,0.723641792824535,-0.486110506614655
healthy,-0.0808235155418112,0.0260533097503755,0.131486597634509,-0.630485983470767,0.247735739490298,-0.225224796594421,0.245311120718964
healthy,0.16438021826436,0.224425713767188,0.134729380438816,0.446027430280198,0.112404896052123,0.412473594110034,-0.229155815298971
healthy,-0.0147045851812326,0.0446367521552992,-0.0469796079445159,0.575308413520713,-0.013556909915712,0.441479255770289,-0.159757349734396
moderate,0.294222606369022,-0.235584055746746,-0.20648696188365,-0.173240196556925,0.234105561090683,0.108180196426482,-0.107936703398335
moderate,0.0968835687356108,0.120201352091202,0.146799294023876,0.173396869311007,0.120223369055956,0.326993695161198,-0.0191797384994088
moderate,-0.114728297166438,0.13608953319426,-0.0020923010608007,0.602119755056726,0.0993814702177614,-0.119934368548681,0.0269986362600753
severe,-0.214015264736974,-0.0622863691223626,-0.163293043196979,0.588294679013213,-0.175741637657917,-0.126102875783024,-0.0275839275061645
severe,0.546314507883953,0.332999463748757,0.041450164490605,-0.111026507326434,0.0526467374548887,-0.150106568700839,0.0915477705807128
severe,0.170273446928812,-0.25225704159112,-0.425264672703656,-0.0911920976492085,-0.502063854962414,0.143272260246533,0.0504943630523223
severe,0.0949026895926227,0.434867604954195,0.0545488732583412,0.775559603674011,0.044418815220904,-0.0178284705987915,0.331648216607846
