group,CD56,CD95,CD45RO,CD16,CD11c,CD38,CD94
healthy,-0.0789083818420385,0.0448605916026069,0.0634357869096854,0.536025217054895,0.0195157673456805,0.475531653478406,-0.112878221560986
healthy,-0.206819620180115,0.100466486893457,0.0510743145438167,0.241253311928294,-0.0817606361119112,-0.147923062495609,-0.286242446542759
healthy,0.0248464013382249,-0.069788907675491,-0.0141497000849687,0.596987745368728,0.19968875378809,0.364538435148746,-0.292835522209663
healthy,0.239598075738696,-0.0251762291638297,-0.0149212004530261,0.720794626790948,0.112699419658257,0.216655422174982,-0.0377700937764511
healthy,-0.173098643371105,-0.274262424142923,-0.432564812111744,-0.024561582729229,0.0914289731815515,0.511082274195301,-0.311597746622905
moderate,0.0127897866564566,0.0425371215829029,-0.0477812860581368,0.585111867502791,0.10246075778369,0.398245519292904,0.17061253045551
moderate,-0.0450144823606174,-0.0940945934583345,-0.0085439793918005,0.336176357191665,-0.008521028069596,-0.240762634026909,-0.0212295731964959
moderate,0.450856110402458,0.423725707063901,-0.033054030554903,0.463782996977982,-0.0719180512040649,-0.358382154378555,0.120877380883453
severe,-0.090168958506053,-0.157916679750234,-0.128354854976908,0.353724948355263,-0.130501150155347,-0.3075424941279,-0.0885045413353522
severe,0.0933948122582099,-0.0316907053928494,0.0127021677946044,-0.0770359834594049,-0.0491274964837357,-0.226824524973415,0.528328346877901
severe,-0.0488398067739651,0.181296242734246,-0.11553288700518,-0.112125917514668,-0.143116275729876,-0.279297152520681,0.420204784127151
severe,-0.191699375251998,-0.0783772758803557,-0.130342450124153,-0.112322455917147,-0.639204603940607,-0.418900905074957,-0.247130758108796
