group,CD19,CD56,CD16,CD38,TCR-Va7-2,CD94
healthy,0.0342910544872828,0.161280187450502,0.298682365691606,0.305898987391193,0.610819915479625,0.254904105068989
healthy,0.0924790872887411,0.378518973721178,0.130806945044886,-0.463802041781521,0.0917953661083439,0.412653414622806
healthy,-0.230132626880283,0.153162353102601,-0.566591124587351,-0.210199318315268,-0.122958646385148,0.253163276520818
healthy,0.175387351915961,0.432042608407999,0.33738347980467,-0.132627966296029,0.243795742962452,0.339585567945507
healthy,0.116432126653157,0.30817542711405,0.347711436624847,-0.0719538978507438,0.0228732776458597,0.338179561895534
moderate,-0.419478390143508,-0.0089727711110193,0.417799977543502,0.167187381690372,0.151126849148979,-0.213026258377235
moderate,0.0890680927013095,0.268935784954412,0.239227737458557,0.122655090593211,0.154540338062695,0.382965447460269
moderate,0.217349977784439,-0.0002039280373446,-0.422724100485726,0.395303875976651,-0.0243359014539821,0.431374027520056
severe,0.175936339484945,0.25617609552254,0.634549829507871,0.146076211394816,0.0746962590107327,0.261743874437764
severe,-0.26315507252756,-0.182211696441598,-0.606778221930954,0.0305869224206388,0.0699541807459355,-0.196369581211559
severe,0.319981529218322,0.23862027528247,0.098341065544439,-0.241282656363644,0.475555396222022,0.186548619054413
severe,0.129122517146058,0.173065841666168,0.407127420059545,-0.199319550537693,0.216818681895258,0.235044881585924
