group,CD19,CD69,CD45RA,CD16,CD38,CD34,TCR-Va7-2,CD94
healthy,-0.465687555510967,0.0126966358376579,0.0701569257422195,0.140617473565032,-0.138057027481052,-0.336864042517359,0.0091255961707771,-0.276640295037994
healthy,0.148333554799755,-0.0198577507023294,0.244427841874671,0.0481408779128018,0.293905776907565,0.11074908354229,0.162821142366663,-0.370449494571217
healthy,0.189938006980514,0.192925171637752,0.404480852573394,-0.112963320252205,0.0476293987286525,0.247321949519735,0.363691661493022,0.42728657425628
healthy,0.174674450709822,0.187918752486323,0.284004655804515,0.40571165941276,0.18601818449987,0.12597469698708,0.135285934566615,0.16698697550261
healthy,0.0442503449356278,0.148015812348227,0.243626924574585,0.428714397367343,0.143258653347979,0.0593125037428811,-0.0375493137683762,0.221670275874714
moderate,0.425602851946975,0.175276646530939,0.155877390128101,0.320897437077449,0.298493085913183,0.0964080874855264,-0.104241806422859,0.254917259275376
moderate,0.123232226207977,0.0998572631280319,0.257898435851253,0.192044669089759,0.430501707501741,0.169851285541195,0.130674043635992,-0.0045545863834645
moderate,-0.172548606160534,0.375799750710359,0.330958986522026,0.399832092262768,-0.611735546419191,0.259856551639756,0.0829657010674466,-0.0987769018867822
severe,0.194666771457487,0.099135801591857,0.227164291733935,0.581139996652167,0.24191871889761,0.134200651352095,0.082762948269205,0.218955467003696
severe,0.122383459706947,-0.0695177098218377,0.168751331163912,0.257300007430171,-0.058291367300023,-0.38782113614566,0.0153653058091891,0.228755956863961
severe,-0.0986303285207372,-0.0090900348139307,0.0141218324447153,0.182999895882695,0.0749008642806381,-0.12109845709393,-0.18501809655751,0.0670179249454603
severe,0.0187977469135808,-0.140313599954278,-0.0245653280545334,-0.0054125075979172,0.0492984811863047,0.184189674694204,0.135294985274794,0.595806559523295
