group,CD3,CD56,CD14,CD16,CD11c,CD38,CD34,CD94
healthy,-0.173963886812333,-0.0365691405708498,-0.0034776483430432,0.12780467294541,-0.128714985643967,0.167595688687544,0.0884796113318381,0.102091458882519
healthy,0.0754029208618138,0.267215274743239,0.0440792707320515,-0.121435977220917,-0.195502105164008,-0.739950358159414,0.0419974362825093,0.444855631133304
healthy,-0.271030468083994,-0.322512272407571,0.124083587062232,-0.091138157383313,0.0140944744660378,-0.0223843547432823,-0.0599457949493717,-0.429370702945641
healthy,0.0732243425367319,0.113445588016209,0.0887074286858416,0.495336261000878,0.142708473443967,0.389674620833972,0.0831966710848904,-0.119810111874345
healthy,-0.260111545320339,0.08023287325846,-0.133936791388806,0.316500388521319,0.1586154101085,0.453438566114581,-0.111745189334289,-0.241005087545916
moderate,0.256809621740659,0.253409562917226,0.16029087797216,0.58557876448194,0.274455805137414,0.325961984926651,0.128096175464574,-0.122500221047182
moderate,0.188289414124122,0.175858805837771,0.119080978265935,0.212054278557032,0.115791909448171,0.318063787455404,0.189624698715746,-0.0368313308396395
moderate,0.0567098741316702,0.099242237206152,0.0884858041340137,-0.0760415801847201,0.237409084135045,-0.60004906462413,0.262244615586181,-0.176122413552261
severe,0.142459786545514,0.0751155270957286,0.0837200397955339,-0.260540492487178,0.351834587319831,0.370176134738375,-0.0365341571845355,0.0120302961613928
severe,0.0851238999940008,-0.046852331850361,0.499979749244755,-0.236169290867582,-0.0933921157291878,-0.134563723179748,0.341005289151765,0.182247371840171
severe,-0.377338172657164,-0.418475345077275,-0.386136192008173,-0.519514470778762,-0.198166260824155,0.22210447979521,-0.443147666460658,-0.426773156556721
severe,0.445881323135685,-0.264465479304082,0.0134729027463168,-0.211451288657909,-0.468233362113801,-0.611642211359129,-0.0607465416232559,0.205709128454726
