group,CD20,CD45RA,CD16,CD11c,CD38,CD94
healthy,0.552931557525205,0.125747542113756,0.215350163837563,0.0407884547553569,0.417482906405755,-0.0719730565086315
healthy,-0.0052677893631217,0.294022529817313,-0.0985870640848651,0.125040694028173,0.713528419223855,-0.691341562716126
healthy,-0.0355547679765229,0.418405389825309,0.404192419165464,0.0774605646521295,0.29840673789047,-0.0995236166611275
healthy,-0.0822368281938922,0.24913014150393,0.0559672758566633,-0.0526874629918094,-0.0532520891570238,0.314380248408016
healthy,0.007588204382806,0.337699233577261,0.22934658488814,0.0570463397866923,0.0993267363578803,0.224988415953124
moderate,0.145098808785326,0.192811101372278,0.473313600018473,0.0870175027781049,0.41460013186015,0.147509709872226
moderate,0.135198400792656,0.190886619316605,-0.13899981738355,0.0284321883427691,0.254308440095514,0.0044072769412017
moderate,-0.267415729102003,0.0257405970207548,0.378049116376032,-0.197089881236738,0.0021129356325669,-0.109971398240249
severe,0.229152510533736,0.287761245340724,0.531865489500774,0.142150452358721,0.1656767749601,-0.0496149484752582
severe,-0.0018495979021445,0.537680480035374,-0.0094767140994601,-0.0833795631691517,-0.234003501757101,0.244115555260079
severe,0.379215399556821,0.395753241441003,0.125671330368789,-0.154235756870734,-0.217591967661461,0.18839597380023
severe,-0.058061674946244,0.0102161791421088,0.0750906248599897,-0.685696811074091,-0.532567095308242,0.0143483987226374
