group,CD8,CD197,CD16,CD86,CD38,CD25,CD94,FCER1A
healthy,-0.160265017774616,-0.283981541313479,-0.162145074769698,-0.247773129382786,0.210929730210046,-0.176399625006616,-0.459709608518611,-0.470483648712399
healthy,0.0068321512711278,-0.0580262472086532,0.0160032011930203,0.0331230229552747,-0.757424921882594,-0.015484578615629,0.678538442574528,0.0289918857515665
healthy,0.405188171350119,0.0060819475721362,0.518374887967488,0.135020097924407,0.496355775306267,-0.0658755221986422,-0.319901718643639,0.080194549995911
healthy,-0.151302320811585,-0.2109223870724,-0.314315279642693,0.546699031079111,-0.194504739746124,-0.476465783478098,0.409573562462133,-0.0566961843425756
healthy,-0.169059124596669,-0.276398036545535,-0.295223543282308,-0.244738118446418,0.315189347560705,-0.267974234182464,-0.358217756684834,-0.142069422912387
moderate,0.0980808819152708,0.459391902631211,-0.500824112390811,0.14098833892118,-0.383738292935807,0.0159153144823521,-0.0225308201107573,-0.0773084348050503
moderate,0.0275283969282032,0.126508014499705,-0.580012409901581,0.006069686051286,0.268499484246409,0.199318220143975,-0.369292124179189,0.0607100878737857
moderate,0.164459119916224,-0.0185450009572619,0.654832959432595,0.191048634511407,-0.36028634413377,-0.142193383046631,-0.101849449604622,-0.0841712113355736
severe,0.197681309112675,0.213186142247903,-0.628398624763967,0.159342475521542,0.175969556443618,0.16831476683825,-0.0525094806675291,0.197201927929644
severe,-0.458450191105628,0.10966828674745,0.154125164191221,-0.0516268729593246,-0.209427120999123,-0.241722858715802,0.145286713809461,-0.131647112841765
severe,0.365409322430032,0.113744448072898,0.0272618536483193,0.379561161879828,0.0280664580439999,0.0808517466998462,0.045944396733922,-0.303741706858591
severe,-0.250659652767798,0.020828847028152,-0.181879094531795,-0.17389085994267,0.299840607847136,-0.143156557630972,-0.298565932360401,0.00887270390928
