group,CD3,CD197,CD16,CD11c,CD38,CD94
healthy,-0.484078540743944,-0.0921777761233027,0.0282940176300463,-0.233214744422017,-0.0119150733324175,-0.329702540944367
healthy,-0.226109759219264,-0.0705959797841241,0.326927170675887,0.107000156231807,0.518983671331533,-0.613010703045066
healthy,0.205732178885658,0.255927140479371,0.522718104676219,0.173991954295147,0.404915992317928,-0.256851262361297
healthy,-0.167662200259225,-0.0295086581262009,0.305078117340594,0.0567725268655607,0.492328470478521,-0.614209627781282
healthy,-0.346729719859498,-0.249719033501031,0.169239567999147,0.106396647499694,0.443117126340735,-0.423645115702258
moderate,0.0131607166233598,0.424291033953251,0.13338047325902,0.0014399704958725,0.164419513359292,-0.202010429052378
moderate,-0.167798097925023,0.0289917835537626,-0.225135898750344,-0.102464336511941,0.344168323799168,-0.721898892445029
moderate,-0.219066395921158,-0.0453922793773827,-0.456352397991786,0.0795496976890688,0.593116071626722,-0.0012387184084495
severe,0.0903216779563175,0.149425354781112,-0.198897376657602,0.334257362151708,0.369199694206835,-0.22523663061356
severe,0.0168308319503825,-0.596094560746324,0.444339084022965,0.183859144810608,-0.0020786245598331,0.0224264082566194
severe,0.240242515150852,0.0437399416978182,0.175166816227156,-0.101478095580878,-0.182996041302718,-0.254695483011206
severe,-0.423985896594053,-0.0062993397328002,0.310274681165615,0.517109634636107,0.598773506946186,-0.255777794399145
