group,CD19,CD56,CD45RA,CD16,CD11c,CD38,CD94
healthy,-0.144764103119153,-0.280263082744321,-0.167176920062679,0.340545899037174,-0.240277048961137,0.166731643483157,-0.465533263992998
healthy,-0.110251582139992,-0.339470491381893,0.18746252091154,0.061146779970113,0.141659387835595,0.701863941786995,-0.603705612983814
healthy,0.234088063838217,-0.0043483699057049,0.306067665451494,0.480161520280656,0.138640176361826,0.272734914899661,-0.183859071697945
healthy,-0.0916858034686073,-0.240927297500469,0.299654646698973,0.296240387882346,0.0963558258898203,0.717811709086655,-0.487725735289372
healthy,-0.212652640761285,-0.239545267648936,0.135671064498555,0.081454344904742,0.0806186389787684,0.551039761628683,-0.518247636202111
moderate,0.274458349992124,-0.437735856826909,0.144298404017464,-0.0910234936414465,0.131673730656056,-0.0684068061778662,-0.0405906103107844
moderate,-0.0257646250036836,-0.354716567003092,-0.136163874816007,-0.439086291938582,-0.181171556456903,0.369243275891977,-0.676255490849641
moderate,0.143639035536975,-0.309052940595816,-0.260553686893036,-0.38901099946769,0.0518361558849436,0.631340400372861,-0.0855134909785262
severe,-0.250535840080393,-0.252534057731272,-0.256267215664959,-0.542611188344954,-0.254763027431936,-0.215913803726516,-0.159495873330268
severe,0.213830249483593,0.166056245410285,0.412470894823195,0.368649498196242,0.111356335506104,0.11944875530861,0.212906981251094
severe,-0.436241599387539,-0.158601026342365,-0.395753241441003,-0.206430723673283,0.0600451981606341,0.566286087087526,-0.363826254106672
severe,0.0849903676502866,0.0165049920853452,0.0082060028082242,-0.0583656695062746,0.497667796065638,0.545495160314954,-0.421567423284919
