group,CD56,CD69,CD279,CD16,CD11c,CD1c,CD38,CD94
healthy,0.133960826628287,0.474146959467313,-0.0896667999444798,0.354058294291855,0.176405476476351,0.37549325280813,0.154292588826066,0.294811768742165
healthy,-0.0896828263159969,-0.0633557470024457,0.149938384486814,-0.245711945271365,0.0748441482527969,0.0356520572950497,0.574026828472292,-0.575019705501873
healthy,0.182794049498869,0.0109284369574116,0.0385367947531986,0.301276642746647,-0.0085092800696448,0.0919733160380287,0.0660378149478342,0.247146144028915
healthy,0.244343007179987,-0.0111587639029826,-0.0425884294648257,0.637843488481664,0.0544812476470536,0.0034725559931435,0.210076725050804,0.14907203884278
healthy,0.0398576601067738,-0.0743025327451951,-0.0441075772147659,0.541352203580536,0.0934952467661479,0.0283625111710007,0.213027339518871,0.157020130637367
moderate,-0.0059354377533145,-0.23075723392658,-0.199764753396906,-0.635725213425959,-0.0749513214354589,0.0392638761857005,-0.175291905666758,-0.0332574357135492
moderate,0.0053606334999514,-0.0462617835748712,-0.245194993401206,-0.0826551225000771,-3.54333350894449e-05,-0.286677414845858,-0.287716438669461,0.465812280517584
moderate,0.188005204622303,0.112221764016277,0.0968455743827008,0.714237407903845,-0.237278340487689,0.0317773658091173,-0.27147319166212,-0.0202978847898161
severe,0.0071737602289205,0.0663736466648281,-0.14840003940511,0.382721738243755,-0.228038243507609,-0.126811374459746,-0.268046525716445,0.248886446466058
severe,0.0233277499956941,-0.103585175026678,0.178074754533807,-0.009762966089099,-0.130543888701002,-0.485025949621024,-0.0495084822841141,0.189013709160854
severe,0.18560495594619,0.310261754309448,0.473661241950037,0.11489657014392,0.323422939152407,0.386844524834658,0.13790510566321,-0.137320036105706
severe,0.510154442471531,0.279342995163657,0.120724793415146,0.452228162813201,0.47105137111761,-0.137647866234395,0.320671625827701,0.417620862345661
