group,CD20,CD69,CD16,CD11c,CD86,CD163,CD38,CD94
healthy,-0.0588886150895391,-0.315100495794891,-0.627087022554723,-0.118573480652287,-0.0717602304432127,-0.175370641266908,-0.0350381071996055,0.0178750043305601
healthy,0.0330722220371214,-0.0997991597818865,-0.605029440535907,0.152543728724234,-0.036264908218194,0.0794564181267982,0.50572315452005,-0.156627885522215
healthy,0.140414770110377,-0.0672910372406041,0.448056368030838,0.270814707864755,-0.0188772402808064,-0.200581677414957,0.521920790161283,-0.604094623952334
healthy,0.050558263350814,0.0894613958659236,-0.316304355794183,0.0067060680164009,-0.480617535921286,-0.0209659539365074,0.326074488845329,0.253292390675409
healthy,-0.063485233695417,0.0803329333700937,0.41764444713932,0.122750645989339,0.0089493078595271,-0.0226647231090306,0.208841375240004,0.245688893990387
moderate,-0.0670212701712801,-0.499468890939968,-0.23958668563986,0.0107676365204752,-0.359491121046199,-0.265025253831115,0.25054453003704,-0.0259328304117826
moderate,0.058759642503901,0.103870220204501,-0.0386591848900387,0.104462151718129,0.259249820184125,0.0605795708977197,0.274664122842357,0.522005341210744
moderate,-0.305643254952046,-0.102983506169637,-0.0637705943353831,0.239079149215429,-0.0518880703202937,-0.155882041928467,0.0546536154947364,-0.416802030210837
severe,0.0138923216666346,0.15942811671959,-0.342073762140742,0.169633557549934,0.142670732514178,0.109954363063301,0.283666764165947,0.366892072436035
severe,0.0631183339846815,-0.0909075788536401,-0.0728625307786082,-0.0646158620091146,-0.0052210378282718,-0.0125567806998561,0.167302692952224,-0.133284293832898
severe,0.479239324002455,0.301137417477351,-0.0384128753413583,0.235698786398067,0.386335355473805,0.484810244222611,0.116060444652107,0.337826446572956
severe,-0.0446730548759099,0.0387573746653111,-0.281786851149626,0.505142599907318,0.130226409535212,0.0709437909717562,0.476067247613386,-0.0853349609935837
