group,CD3,CD69,CD45RA,CD16,CD38,CD94
healthy,-0.154488054369783,0.27799975242616,0.0465656042070364,0.230556521382752,-0.0586130749593244,-0.0630343737131025
healthy,-0.171845536759861,-0.0395990992277158,0.256199534205857,0.153274184366852,0.753578006203399,-0.630767931383386
healthy,-0.0823493106739185,0.306029315333574,0.153175806443025,-0.0978239716589405,0.0943762130316049,-0.245522076869805
healthy,-0.0887021107739957,0.0126199920557794,0.296809752261902,0.650490503111604,0.380294701372102,-0.367441874872723
healthy,-0.329576201537535,0.148285639825278,0.111947029068678,0.218288482417982,0.32199093134058,-0.359871061311836
moderate,-0.331590510093217,-0.192528462175038,-0.176973497773833,-0.271312121200113,0.224445650924493,-0.0284564879272787
moderate,-0.485957169138139,-0.213781300189942,-0.212166128629575,-0.534832363592446,0.420792378225907,-0.332968920185728
moderate,-0.140324228049872,0.216493657615433,0.182928363482841,-0.212275540500501,-0.422542747468599,-0.230431215121384
severe,0.0499280995997343,0.0827260675026273,0.227509632438565,0.574370475167066,0.383341950910651,0.178110973815641
severe,-0.025242440045042,-0.131894024867104,-0.450624845124693,-0.357923914796853,-0.239379822406073,0.0719942347933963
severe,-0.227717050685722,-0.275445205871185,0.0028380438085021,-0.348281297173384,-0.061910299047118,0.233587744526597
severe,-0.17395848561142,-0.628861225729621,-0.0210692783079409,0.2043974859675,0.337680608671357,-0.148253462411884
