group,CD3,CD56,CD45RO,CD16,CD27,CD38,CD94,FCER1A
healthy,-0.15910408980309,0.0104733829823899,-0.152837404554669,-0.207465444077938,-0.0889564065089943,0.422718789792557,0.285563498459148,-0.0536503639049264
healthy,0.0537345603692461,-0.0593863175209131,0.0050162148763078,-0.426075700766302,0.131730834364114,0.65484173884106,-0.431289730088108,-0.0340313104841641
healthy,0.0183447587836239,-0.232850010743495,-0.167854693389197,-0.112630866425189,-0.0569799642544646,-0.637676318322937,-0.0801692413667682,-0.172116309199685
healthy,0.259145156930552,0.487318274903383,0.2356731931448,0.299930623320227,0.304434085343518,-0.293556448519918,0.462438240419402,0.0993492076797095
healthy,0.395759502794829,0.0730165259636328,0.303594646894226,0.0985241501632819,0.473667836181259,-0.337309571038598,0.484287759768801,0.143041540318111
moderate,0.0601592979113054,-0.1005404465049,-0.0964172401732106,0.0784258421214703,-0.0801365787326766,-0.155826919793203,-0.394089044656675,-0.0140732363078964
moderate,0.240805266249898,0.311828172964982,0.0295601418494165,0.336927290704088,0.0259688561191823,-0.185084097830455,0.762326773016633,0.0640265204120856
moderate,-0.235602349984729,-0.163483680422082,-0.0986131173810176,-0.609358516972143,-0.0153631940972628,0.266642450453163,0.122804093524067,0.0953362448299394
severe,0.0234863116444069,0.181114352527231,0.0630875053461054,0.679127390409531,0.0118797515545483,0.0090405050821393,0.295937711181732,0.0532425001980014
severe,-0.158952357037289,0.0743910137451145,-0.0139159304949778,0.366104895332594,-0.115216368893144,0.120677954119571,0.0132499515342828,0.0399657796999199
severe,0.185965502468622,0.278972154880582,0.524536422986779,0.281648811719273,0.300485242329822,-0.252598122395999,0.108446565634053,0.482802065952567
severe,-0.561343926559695,0.326884435998911,-0.162433400640887,0.369176768542568,-0.246832618281128,0.397465991440519,0.29357945413058,-0.105814653874468
