group,CD56,CD95,CD16,CD86,CD38,CD94,FCER1A
healthy,0.188416545260683,0.0647669602591761,0.15042306533575,0.110156181595568,0.160049833630918,0.386112791874332,0.115714005758415
healthy,0.239454060969232,0.238685275740744,-0.0688408049604498,0.0413469081275654,-0.680602455270153,0.804329189755268,0.0556307228579271
healthy,0.247916097892513,0.142320924914792,0.0065284316317334,0.120795966344504,-0.24221976247306,0.0857860340374315,0.0476553030916451
healthy,0.325979393447606,0.0468028706462709,0.308740899527826,-0.530733332091616,-0.368409690475711,0.0433142025073379,0.0648887018591917
healthy,-0.0699629086911774,0.199892837439935,-0.478337727964128,0.109876129042119,-0.413499034374398,0.336138673878857,0.147513922269437
moderate,-0.517876047408833,-0.0589315697815976,-0.039069425200171,-0.290624653431369,0.0404990726648846,0.0847589014796998,-0.371780502963495
moderate,0.224942464569444,0.0665866039690395,0.285382735260711,0.0655682754431743,-0.534936736440959,0.507373940347504,0.0180269707539801
moderate,-0.160541525109102,-0.508505654525741,-0.510920576275234,-0.170282605023575,0.228414834370374,-0.0883641050730869,0.0185201148565079
severe,0.214375504748825,0.174253572489249,0.720192833279837,0.115999484338498,0.077381045904697,0.215616942609002,0.146520973206968
severe,0.154270461648171,0.118726294421901,0.46380168611496,0.102321917156019,0.0797346202957684,-0.193494173109008,0.176699793503012
severe,0.0648573467671086,0.417352613393342,0.407764814732263,-0.0129981988757542,-0.368521824256175,0.508398868103361,0.594505047663133
severe,0.325116487716598,0.247636641698774,0.470317732408942,0.245730717068217,-0.318430722418047,0.339116187991461,0.0757469827979972
