group,CD69,CD45RA,CD16,CD38,CD25,CD34,CD94
healthy,0.247802419222278,0.193069495243988,0.323537102729973,0.270520816311874,0.244579759068699,0.0976748109284333,-0.0672736233934711
healthy,-0.0691524245004348,0.171026850584105,0.0835359568201817,0.58408982696935,0.0951472070870518,0.0984558163252402,-0.582004158727848
healthy,0.0740860054327369,-0.47375586198219,-0.335514851406361,-0.196809523865143,-0.0493157031284307,-0.0236986609422657,-0.0753724300316118
healthy,0.246258053697234,0.130044454651518,0.407270515430374,0.286691354010449,0.513743069096752,0.183008272789155,-0.309353746052677
healthy,0.105319069239792,0.254625293039196,0.559079963092532,0.309025337232714,0.0202552405092109,0.0290796121241355,0.0297963392016505
moderate,0.469770647982502,-0.065968960993873,-0.18291010417554,-0.0539423929426728,0.0873087090023769,0.409439673666912,-0.274547372870019
moderate,0.123802286961416,0.252442466072215,0.428010193365354,0.330857689440396,0.0786397252613654,0.159191614065232,0.061219495715248
moderate,0.380296313629013,0.227667033323895,0.448676445155408,-0.433409860603345,-0.150914767330791,0.211923451634834,-0.0027059462512381
severe,0.117672962298325,0.185727526038696,0.648463307626478,0.210236419818726,0.107691220390274,0.0795020659105722,0.232955061268413
severe,0.137703477709907,0.340452971109269,0.63112610687267,0.0737645877597312,-0.0266071788703683,-0.169843892146921,0.074998960191564
severe,-0.13254299819256,-0.205262373282387,-0.169557099792621,0.585190778072096,-0.0638051040848913,-0.491731050861025,-0.0680442331375807
severe,-0.35149781380632,-0.260776564422227,-0.20757742854159,0.0763895411214739,-0.0658378234970544,-0.128322486019569,-0.452752027594325
