group,CD3,CD279,CD16,CD38,CD94,FCER1A
healthy,-0.340549245943627,0.450008146174683,0.362148962135059,0.162209422660561,-0.0706811846540619,0.0724487941257714
healthy,-0.0510869996450317,0.141540817559485,-0.125172246719697,0.698486523650244,-0.674636262185702,-0.155519601624222
healthy,0.0659067592564559,-0.323040576961999,0.0300462516389904,-0.397926295567323,0.130575272086929,0.0652137364694066
healthy,-0.161460743785493,0.0141927409606742,0.224604305949308,-0.0535141991939381,-0.456545151327999,0.0486596933481137
healthy,-0.228314170210574,-0.0199806752787365,-0.524599926433874,-0.243489650235895,-0.0818431646294184,-0.0154005157803145
moderate,-0.166351115392273,-0.270017634786589,-0.091158422584962,0.173990386760883,-0.426365296039072,-0.35745634183877
moderate,-0.192256476752689,-0.0704788374674538,-0.146906336756159,-0.19512279276521,-0.378252213841959,-0.197949431336977
moderate,-0.0454471124704052,0.0602277788850391,-0.333948820143608,0.15747000026639,-0.23186474193249,0.0173608900766051
severe,-0.0544886295679519,-0.156845281182868,-0.064428372757034,-0.0809827000032713,-0.512790974239179,-0.227200398014341
severe,1.26929351058691e-06,-0.22366903485842,0.481407450079474,0.113557209205405,0.0763365067295669,0.142392490973538
severe,-0.276278892423479,-0.319541010432284,-0.259859852153427,0.154450983486957,0.0642468928267353,-0.459002687568495
severe,-0.578208585758383,0.0300265994437323,0.378282497795267,0.164421055711184,0.184640236055613,-0.159447869731346
