group,CD8,CD69,CD28,CD279,CD38,CD34,CD94,FCER1A
healthy,-0.020625257281256,0.0681869592139101,-0.0564716879305585,-0.396804277006149,-0.254327435463496,-0.264933902866386,-0.241723024245761,0.0010274116218112
healthy,-0.117716829751422,0.0900323380243813,-0.121931221679868,-0.196397052595404,-0.538896973443687,0.0080346891428945,0.262537177394034,-0.0617928264063723
healthy,-0.125355904174672,-0.146967651575712,0.012289750889955,-0.218150314192895,-0.0837684190271347,-0.0861963663357825,-0.133440778725744,-0.111276562950177
healthy,-0.173852214872065,-0.0589967119543622,-0.168824958962531,-0.0118896305085308,0.237893399670926,-0.0800708806579424,-0.570072917704415,-0.0275625579646234
healthy,-0.13452009407354,-0.126307496111511,-0.137347940904454,-0.0594703027052879,0.177629219560978,-0.074614032037608,-0.481052335778464,-0.0366457659392279
moderate,0.0364418729345687,-0.475461239426791,-0.0940845109496047,0.097007806801067,0.0972457250922552,-0.134995326983313,0.0033206019940737,0.173719325537323
moderate,0.0231201795290485,0.0410869927965391,0.159892124891694,0.223223086359431,0.223089082452196,0.252680912464454,-0.5787768749096,0.196054166957361
moderate,-0.203204773892054,-0.329293173842257,-0.16629121734192,-0.0743583918463892,0.567432932204961,-0.239795818425581,0.27809515961426,0.028402672660464
severe,-0.263153899576177,-0.196720125298311,-0.257132058529883,-0.168687837514592,-0.000107811733557,-0.0771885755047964,-0.375285932558695,-0.288927715193041
severe,0.0790891151538885,-0.128655677493781,-0.0114782363484396,0.500712377501324,0.152892837066364,0.0586759292602147,-0.084903143655904,-0.0657707269939818
severe,-0.500343917072564,-0.522248226573946,-0.524346881907304,-0.402079659047653,0.436448806148291,-0.638235497962487,-0.162464586812655,-0.564541801496136
severe,-0.116510334705559,-0.173622127353738,-0.134286659912422,-0.200454020162656,-0.0007260604117665,-0.16368055132646,-0.543215033322927,-0.0917560280469316
