group,CD69,CD28,CD16,CD38,CD25,CD94,FCER1A
healthy,0.181400050733569,0.114790557307448,-0.0116963314286157,0.284408679331688,-0.133757560391134,-0.132760559676946,0.0677438053906298
healthy,-0.0299944303492479,-0.218075860746914,0.0958759414188948,0.348434106796048,-0.0692822354698961,-0.737729072104362,0.0075127943300308
healthy,-0.0872602678965733,-0.1536339989819,0.495019893231579,0.531091323094302,-0.0105839894677112,-0.421552154797527,-0.0691069401740796
healthy,0.188465815035338,0.147295700421971,0.571253783978763,0.128365832046827,0.24209052074525,0.0322264588310603,0.104652946845609
healthy,0.1364281634856,-0.0875712587583187,0.343397264859868,0.259029579465684,-0.0092038429089531,0.172390463519295,-0.0032860667445958
moderate,0.0947274498952196,0.0566442952013249,0.282012200593823,-0.0062271685809054,0.45942637368867,0.530195164584091,0.112429330534723
moderate,0.0562590505183291,0.076845552981213,-0.0698907552569095,0.50268010163237,0.145808003972496,0.116334633856272,0.166380963436437
moderate,-0.228638834441424,-0.151872386558858,-0.395017228786726,0.582397710475444,-0.0419579828902682,0.310681591322669,0.0118720606769359
severe,0.157847444762378,0.19090202535263,-0.113667935488104,-0.0746379172761097,0.150529072296793,0.466304913399593,0.280187683409239
severe,-0.0381090447366961,0.355519223563832,-0.443040817255798,-0.193567797926291,0.0346133510480117,0.0174438889254806,0.0281599940354173
severe,-0.178816420698192,-0.506579983365812,-0.342842608678926,0.36718858203484,0.16375730576294,-0.137867400474837,-0.4650295805118
severe,0.619126952122758,0.0129388653960338,0.777949052976038,0.121499738866497,-0.026294744782007,0.063627153906666,0.0108736593792578
