group,CD3,CD56,CD69,CD28,CD16,CD34,TCR-Va7-2
healthy,0.463456300228188,0.122363993923026,-0.187164662050826,0.187150524918091,0.0272679454986263,0.130346686372537,-0.139269818662925
healthy,-0.0269967066657162,-0.0923046133623396,0.076815905386136,-0.123625157527134,0.360193538437034,-0.139654935023571,-0.265484077458679
healthy,0.162206120773686,-0.162791956486015,-0.203735203126062,-0.0416922268401094,0.474883078754318,-0.137585460049245,-0.205807522184778
healthy,0.153351206822028,0.455523014925371,0.217637718222138,0.19045435723635,0.463496173313418,0.167242684610192,0.275481437566825
healthy,0.254139684867269,0.0557146233283253,0.0736797999395217,0.256438462709231,0.627182204443507,0.142932059059596,0.109280516320095
moderate,0.119091204770335,0.450741983870621,0.0456919127718864,0.0393848222725296,0.497767864733721,0.0940590753499136,0.150908420613395
moderate,0.205813500917103,0.236236314549433,0.177091540287176,0.162717716157703,0.462393654786702,0.174518405521232,0.0711918231826671
moderate,-0.133279032204442,0.201531882905849,-0.157218756894251,0.0081670258928076,0.288243020529126,-0.123970981783213,-0.121746350539418
severe,0.0089348702761627,0.271161577825949,0.110900733058877,0.029272583449075,0.687290655834026,0.138893038258398,0.0255659402151262
severe,0.062907455678198,0.194013988682207,-0.0631744634559597,-0.0657004239897905,0.354927135117713,-0.1501879381683,-0.0909535166898215
severe,-0.344416050210566,-0.390684228678915,-0.383427959057049,-0.50761094459646,-0.289345069022751,-0.600486516858179,-0.467852015073717
severe,0.495961005246559,-0.0995290997994031,0.497463932486693,0.128876200386425,0.0111511326454725,0.122080065941016,0.112800541352851
