group,CD3,CD20,CD45RA,CD16,CD274,CD38,CD34,CD94
healthy,-0.0041419036993274,-0.114744649804367,0.0308147374261133,0.0720184203007786,0.120434721320859,-0.0062495252593831,0.400360573916554,-0.397486196605361
healthy,0.103964780385017,-0.169820696630764,-0.218378233826591,-0.0436203941624874,0.020613376419681,-0.534567749651876,-0.0505060398766006,0.747986562482285
healthy,0.245299091828571,-0.0646836236273768,0.02441154154412,-0.409558623059506,0.0118798460187364,-0.348243504758836,-0.045551978355053,0.757058043319878
healthy,0.0793057637666197,0.101013825607213,0.289795761696373,0.377526132125567,0.123798761552593,0.299905265471946,0.0853750271205847,0.367700177823922
healthy,0.0747726167655507,-0.0409404485978164,-0.363387266658119,-0.23029437299574,-0.0705163504756676,-0.15934540335525,-0.0165906220947123,-0.185244516161387
moderate,0.0053336888659124,-0.0437066697019829,0.110820403494916,0.621069360085055,-0.034593192800627,0.157794182744682,0.252188742654216,0.233136252518119
moderate,0.0596129121433367,-0.201948112479884,0.0698999538543802,0.490171324369874,-0.125451002075897,-0.0307978948650533,-0.247641429677556,-0.215772791459326
moderate,-0.412675887359228,-0.108819460088467,-0.177264117165247,-0.355674162575603,0.0473750748478519,0.511334532252016,-0.238919281919699,-0.13587351800605
severe,-0.320479414460019,-0.254676543436705,-0.172078480651702,0.295828457863965,-0.4187694187068,-0.0273693363681421,-0.420026103262569,0.0917144084109988
severe,-0.0350858112196435,0.287673697407414,-0.515499982642856,-0.220593889466745,-0.0865204756819946,0.0227775223538844,-0.0319856670709832,0.0986209195243319
severe,0.0866173512602287,0.437339757180143,-0.205706886168056,-0.0092697143521888,-0.0580733470030923,0.380897046926002,-0.0079543720401448,-0.126235907630806
severe,0.586729946214192,0.0699440072610309,-0.274953323485285,-0.378678523929543,0.138616400092282,-0.395209264005178,0.0690856231290474,-0.151895530320705
