group,CD4,CD16,CD38,TCR-Va7-2,Anti-PE,CD94
healthy,-0.254766672459555,0.0379088585040143,0.175965242386557,-0.494516184880013,-0.385432581441105,-0.13384149226038
healthy,-0.0629538451911116,-0.187911201331373,0.645408547390698,-0.013591564615091,0.0155612687172173,-0.726545356231936
healthy,-0.0639568814033766,0.516922613541698,0.400933023958987,-0.2669553718537,-0.150540729840634,-0.663022011525509
healthy,-0.265223175173033,-0.212293822109176,0.218569102217929,-0.257089526191836,-0.154668305698123,-0.48085788349714
healthy,-0.250935556934205,-0.248657683625304,0.189006815782112,-0.0297505635893761,-0.092793401065394,-0.440638503718084
moderate,-0.0325763386528307,0.172015127418974,0.147837991245957,-0.35085833037774,-0.0407919769243838,0.0722905765729196
moderate,-0.311695362646872,-0.520368090381645,0.0870590093355151,-0.146112012758361,-0.158762204675664,-0.294659515026598
moderate,-0.19852271559444,-0.548883732912853,0.419649069381369,-0.0375708688164428,0.0413188378457435,-0.0926293405219553
severe,-0.139488054604165,-0.676962509562958,-0.13075392459257,-0.0801199471205135,-0.0504724388268505,-0.205522063645867
severe,0.124170072509109,-0.532746617761033,-0.0498148325541991,0.109911850283289,-0.0866604128139639,-0.135467474058909
severe,-0.510114757565251,-0.109081620181293,0.218514981507001,-0.175294717685871,-0.468145299900895,-0.357223671404031
severe,-0.16790019555462,-0.23446006654166,0.579469671423954,-0.0635436355029853,-0.0875883613584146,-0.138051531457157
