group,CD16,CD38,TCR-Va7-2,CD94,CD16,CD11c
healthy,-0.116920866971221,0.137342316954197,0.584349948534007,0.136276738920436,0.536025217054895,0.0195157673456805
healthy,-0.128104460924315,0.746929123199487,0.0556532224564178,-0.730720694380297,0.241253311928294,-0.0817606361119112
healthy,-0.515412511199205,-0.234622551930973,0.0638041739309867,0.175489630522984,0.596987745368728,0.19968875378809
healthy,0.652013097903963,0.492835697803805,-0.0783547894601914,-0.243360461887136,0.720794626790948,0.112699419658257
healthy,0.388905140525074,0.46241324688974,-0.0724815500503587,0.109804992249007,-0.024561582729229,0.0914289731815515
moderate,0.0652520654299753,0.164226854310725,0.148814076419272,-0.105295218070146,0.585111867502791,0.10246075778369
moderate,-0.185700006192076,-0.144619259605078,-0.225942401375348,-0.23444402109307,0.336176357191665,-0.008521028069596
moderate,0.533066642926835,-0.494364478624293,0.039720581372822,-0.19801657647692,0.463782996977982,-0.0719180512040649
severe,0.778585796247483,0.145326162633265,-0.077699384621834,0.0793507318683452,0.353724948355263,-0.130501150155347
severe,0.44497618469017,-0.164330335786275,-0.0388336576642227,0.11348353380396,-0.0770359834594049,-0.0491274964837357
severe,-0.092731349109904,-0.18487625469178,0.0971995514668337,-0.406725936537303,-0.112125917514668,-0.143116275729876
severe,0.428670043798408,-0.0384432815548157,-0.0734120584484926,0.387012404603741,-0.112322455917147,-0.639204603940607
