group,CD4,CD28,CD16,CD38,CD25,TCR-G-D,CD94
healthy,-0.335024106149997,-0.168383749246416,-0.351200961147541,0.220049363175329,-0.0836814741013317,-0.0610445179769145,0.0807207395661168
healthy,-0.030465952451982,-0.0106852226526522,-0.292790518772515,0.767420911243378,0.0287759689060555,0.0710776616823755,-0.594123654102266
healthy,0.185946452767264,0.17979137185461,0.391892307894323,0.244281998538661,0.121344256761468,0.0889157098635173,-0.0450156355547588
healthy,-0.228959124371791,-0.223986719804515,0.420697532400843,0.218611188809663,-0.63173659158339,-0.306516578753907,-0.227444169114957
healthy,-0.291387290068528,-0.275173209852898,0.0758344424775952,0.443909620139176,-0.217139071595816,-0.169049671033012,-0.303900317982707
moderate,0.0553117488426865,0.156497224158962,-0.219499406890139,-0.275558096509326,0.558773589799493,0.27475029306983,-0.0734902779385204
moderate,-0.0260808291007223,0.119099870950914,-0.443858321568053,0.294172250668304,0.225110010811914,0.0883697418514115,-0.32547473479313
moderate,0.11039765898639,0.0514077789690491,0.51775837401267,-0.392078998721811,-0.221276110198208,-0.0031223293499624,-0.151017610877499
severe,0.233140217914241,0.213395498679108,-0.420216800930711,0.303828909741681,0.180010091005361,0.213821209763263,-0.146152912033778
severe,-0.003190695629145,0.354443416748835,-0.605558484470678,-0.199894817140692,0.168265593575433,-0.126975813111647,0.002450689533611
severe,0.543880165548704,0.514758942462282,0.285206192872881,-0.437576934181729,0.0870816442016972,0.508994009295371,0.517430380194021
severe,-0.116664586214557,-0.060763895036577,-0.352069776996749,0.472743874260041,-0.0163834879685498,-0.264123624915641,0.118748674035703
