group,CD3,CD56,CD69,CD45RA,CD16,CD38
healthy,0.529219865678612,0.0058369571015832,-0.120741554717268,0.182777915833061,0.0846630037834314,-0.0513852765667755
healthy,-0.132230537373427,0.0376341460924302,-0.0209612878195987,0.249296864117969,0.328975294843805,0.409256920191832
healthy,-0.230781696050559,-0.15915333460699,-0.0504573841710126,-0.325424851942498,-0.312020616118074,-0.173426025499139
healthy,-0.102274489694656,-0.292186911151564,-0.197548954297411,-0.266172036310487,-0.460793835082834,-0.0534645653654426
healthy,0.031580354362194,-0.30241710959675,-0.138350788697351,-0.262646438730136,-0.435784707713726,-0.104646409163768
moderate,0.25033422357132,0.0785765422383947,0.466180538502583,0.233701537160178,0.476586162331041,0.316847071273335
moderate,-0.047416033856408,-0.161799586578245,-0.120195393688033,-0.185244108083794,-0.115198429394268,-0.13388700419351
moderate,-0.193142611348735,-0.0847740363308331,-0.223739495695989,-0.205663425276747,-0.65041000344879,0.274649580701354
severe,-0.117902272312405,-0.253097524519952,-0.0683281446269625,-0.236734185074413,-0.50529715448741,-0.220054881156519
severe,-0.0093051907261126,-0.228046852040105,0.0893061982844143,-0.481834806860766,-0.4599512168738,-0.337073910808025
severe,-0.0904160576963747,-0.0229653190927334,0.0093987529774227,-0.378622398693298,-0.191824937590683,0.456447439468316
severe,-0.428644390441165,0.460055234674388,0.238396829018218,0.0628265274353669,0.771617270790873,0.344491498898385
