group,CD56,CD16,CD38,CD94,CD16,CD38,CD34,CD94
healthy,-0.163735259376982,-0.0549747752720556,-0.219731830492577,-0.307917289229464,-0.445041493652912,-0.244138618605216,-0.488048182682921,-0.101656724588648
healthy,-0.474598732840455,-0.126452368700736,0.481421424073331,-0.68624015699074,0.402590769794541,-0.38129948660713,0.163688047928356,0.0691881877370991
healthy,0.332475527725496,-0.612131402708727,-0.194668372234244,0.525098471364084,-0.629559602922774,-0.455875265072012,-0.199320402129451,0.402249326377485
healthy,-0.337539996413517,-0.299869646978095,0.0781982318582229,-0.325939957901698,-0.649401172119705,-0.399640213331069,0.0056677653959039,0.228204007466524
healthy,-0.312152410022397,-0.188958281075821,0.212720982787331,-0.35317052768372,-0.43343688904901,-0.319706586531678,0.11746886652741,0.32509740235708
moderate,-0.0288675188023892,0.285498935832606,0.174195889746022,-0.0907659776031726,-0.682950343656404,-0.390684721964696,-0.0189378387137546,0.0556040159717321
moderate,-0.33302145854696,-0.184595227804016,0.0149432886289462,-0.441652222205391,-0.262020887458954,-0.0678261108369532,-0.330224065261074,0.35710927720732
moderate,-0.0520789448273629,-0.570837139158607,0.418110595828601,0.0835062246524255,0.449640570519711,-0.25759980915984,0.222183743064014,-0.237182107150977
severe,-0.221576994051066,-0.600029847674367,-0.176413781113382,-0.0909340103633413,-0.664798783732235,0.303645290871954,0.0970366887872625,0.0476149451311806
severe,0.0820877743724363,0.233496761229803,0.142117409384696,-0.0152264776506303,-0.138756218871406,0.349589965024268,0.17201561739924,-0.4734952779029
severe,-0.162502734802233,-0.264511812123529,0.378162191087366,-0.503438378508113,-0.221994266220316,0.368145781578362,0.0058972068573487,-0.250350778331229
severe,-0.223147950603637,-0.479712409352898,-0.107667572661598,-0.354433167277456,-0.427766933543171,0.432952270931017,0.0303667529069451,0.0898434011548865
