group,CD56,CD279,CD16,CD38,TCR-Va7-2,Anti-PE,CD94
healthy,-0.258962895489826,-0.224393498933389,-0.138388203469496,0.047947959076916,-0.220169778514486,-0.27045943547071,-0.281214581346771
healthy,-0.427341726621425,0.0781924365719153,0.23454435723138,0.571970160411496,-0.0098585926787158,-0.0206045203279029,-0.611907886329519
healthy,-0.246492289331155,-0.0584020413858053,0.112569410090182,0.185229118195249,-0.427135444435926,-0.343246826244858,-0.46110949864318
healthy,-0.411936415270043,0.0326785160641312,-0.267654158973811,0.343343834016488,-0.0663002173272468,-0.0491924587742184,-0.483842863599466
healthy,-0.227177985250313,-0.097992340008778,-0.0602858503029997,0.243046440552686,-0.0755862719947847,-0.0953961256894015,-0.370860857909349
moderate,0.137637467959125,-0.0045975263886761,0.482788610274232,0.394392338321564,0.300472006713591,-0.142121954894041,0.0079565908425741
moderate,-0.235609124560224,-0.0912922989961299,-0.139800987962775,-0.274813283685411,-0.175475001390344,-0.11324951471829,-0.284757815550197
moderate,0.0306294978348824,0.06212550605492,0.560006166342717,-0.139484159613442,0.0150537644735009,0.0563630145305201,0.18999162105443
severe,-0.117762863325901,-0.196674119497817,-0.0859030168589782,0.0917609345990316,-0.0598940793675267,-0.196607161626731,-0.282417148712835
severe,0.215538504873116,-0.285344440240241,0.376359302890631,-0.316197785584999,-0.0476568333508186,-0.165706041278343,0.233576195667266
severe,0.216271015420242,0.571244388315524,0.277544141157418,0.164159721714114,0.24315294629005,0.557488110134428,-0.0362286791818491
severe,-0.230861791562104,0.174807504324681,-0.188629139064308,0.0574036209339625,0.0528578659511861,-0.0763590694679306,-0.572942687474449
