group,CD3,CD56,CD28,CD45RA,CD16,CD38,TCR-Va7-2,CD94
healthy,0.328125369517916,0.1842274018133,0.179395984253354,0.226308894088893,0.310645957992042,-0.0007825661084001,-0.20227465970924,0.31136682845446
healthy,-0.058174441100842,-0.0537520080980097,-0.0249779996767842,0.26350535416306,0.13710511521308,0.66935966238615,0.145177396813512,-0.641350218536523
healthy,0.360178375127989,0.0328531398700993,0.0928786484857105,0.481315622234614,0.129598030738607,0.186953695419671,-0.0427216413336332,0.242388844394777
healthy,0.224657502488741,0.450539812950821,0.248984721212319,-0.0022237323532689,0.0430811192158345,-0.400922149468343,0.304282344677551,0.495821404139464
healthy,0.140707301490014,0.28211683622857,0.14883719109994,0.120093745902041,0.327430163611982,-0.103774826326897,0.0435612932746184,0.375050136139769
moderate,0.225970618285823,0.323945097098622,0.0308346577118708,0.486278877122016,0.111155748705672,0.443629569167011,0.0413322467185915,0.425829715072286
moderate,0.321960491639679,0.307130538893323,0.1642978210549,0.228285797273315,0.464346412461963,-0.0740686452962615,0.0606576359477295,0.560394056343744
moderate,-0.269600607495474,0.24928804671579,0.0341542222903396,0.175525065335875,-0.0293798885566118,-0.224682885437084,0.0334901284742949,-0.147697648268522
severe,0.0818343715451766,0.274118630242511,0.095005569797049,0.22272860083098,0.638781472245486,0.0926676385715196,0.0699253608583135,0.264197332605629
severe,-0.0091363746892046,0.0154595551686216,-0.0048671684947682,0.193941650004281,0.0439409470112901,0.0527479465037322,-0.05633268092749,0.0204574890400141
severe,0.170052002533416,0.206379842219348,0.450976807659559,0.294096563818392,0.0598255734390344,-0.508136214818532,0.45984049867948,0.0624337483539893
severe,0.592464166223175,-0.241300091833163,0.152227769585033,-0.12958665916246,-0.266037458361636,-0.442106920734665,0.149649182246996,0.0194355273348099
