group,CD20,CD56,CD16,CD27,CD38,Anti-PE,CD94,FCER1A
healthy,-0.223359147414962,-0.0391487489310204,0.420138544849433,-0.109642618976342,-0.149685745019535,0.072589474099241,-0.387146499247809,-0.0208718907217869
healthy,-0.295303170483304,0.211586915208138,0.299482906396059,-0.0066324318452439,-0.551686218941471,-0.0469668024832855,0.734738154528892,0.0371299214365087
healthy,0.0511736715438843,-0.017438874443842,0.528217652942898,-0.166994505993946,0.224202976085118,0.0779561951953054,-0.288959061013751,-0.0554307263254886
healthy,0.0172316417774811,-0.431203602696113,-0.0981388740290048,-0.178043879093167,0.673874273167159,-0.0327907475007424,-0.452369750547138,-0.0006799879963123
healthy,-0.0879208287432075,-0.114376610792744,0.128988386536358,-0.431392939901926,0.430910938293966,-0.175893089265919,-0.506070661233408,-0.189219089684078
moderate,-0.0790871814734797,0.0908522527271157,0.383390955217773,0.0255990647166134,0.202578848912135,0.254942872689434,-0.201524121534536,0.164844736716525
moderate,0.0172201461842396,-0.227454496039557,-0.354232007009268,0.0219937372338733,0.437667827383783,0.0920257280943324,-0.58010787172723,0.0303218387541039
moderate,0.0104884186447773,-0.0930068085481501,-0.597642458958451,-0.0533390353336539,0.404261046517042,0.0011771772110627,0.127389077785734,0.0836432310838075
severe,-0.124452498400657,-0.0852503102354561,-0.610302928060247,0.0258864624702836,0.195141575875793,0.109669388386588,-0.216783999243923,-0.0009952474134131
severe,0.430784885052649,0.125489834217446,0.372241580685693,0.0007135833842907,-0.103361568398525,0.437364806870949,0.246368465400393,0.0957791144718035
severe,-0.167250841362028,0.247587359637606,0.0439199750118468,0.0098289565248072,0.620333675598566,0.0857249949329084,-0.204098489139671,-0.520435903138316
severe,0.0590420866435608,-0.459796004480474,-0.541736838486317,0.124297313959711,0.141187368503966,-0.0341917887593589,-0.475285495801475,0.09863676250466
