group,CD28,CD16,CD86,CD38,CD25,TCR-Va7-2,CD94
healthy,-0.334241958751464,-0.347956361759549,-0.267961547076102,0.0030930617595488,-0.307647609530984,-0.0114223883851109,-0.34909872176006
healthy,0.0817960293336835,0.0675839557729535,0.0171234236627386,-0.802990543291634,-0.0207976506460562,-0.07847591731506,0.64747706141268
healthy,-0.251599590512736,0.120307919225977,-0.213409391288324,0.114700826166811,-0.176984491681546,-0.461901948005564,-0.340109910005986
healthy,-0.100496679681757,0.124526496580159,0.691984434688448,-0.164858506184449,-0.526877333396578,-0.342234495798402,0.0650722848379023
healthy,-0.0616426601419896,-0.60570183765917,0.0351718872103963,-0.165538283621324,0.0461392142520743,0.0821044379539367,0.202164553082096
moderate,0.0775902363279973,0.304121271767015,0.149329771191757,0.0240952250074497,0.185657190803578,0.0511122773265293,-0.0790474660498929
moderate,-0.215628319791627,-0.260922255530943,-0.321972121332218,0.219140098489534,-0.191049612524065,-0.0971453820558555,-0.531589541564157
moderate,-0.100120828733381,0.316360736426919,0.220053608839848,0.155881394829691,-0.226266864322794,-0.0993629327354909,0.233362382901431
severe,-0.0443243830137028,0.243611883648486,-0.122442554722218,-0.133279756591445,-0.16992429923326,-0.501934369342259,-0.4671068973817
severe,0.114057114734263,0.309519463309955,-0.0299901396169369,-0.0826829251677851,0.0418494057114246,-0.0841751535633839,-0.0946970270739822
severe,0.511700424144695,0.424115085803652,-0.222826266441501,-0.376863134564014,0.070206152617013,0.312517613874343,0.278984776891388
severe,-0.0997442884178518,-0.276614757220709,-0.114505302004874,-0.264598124938918,-0.149896635027728,-0.100271831384539,0.109331078097171
