group,CD197,CD45RO,CD16,CD1c,CD38,CD94
healthy,-0.0844663234573429,0.0192286095558308,-0.508644864777826,0.0548728355085709,-0.183896747698143,0.240779307133477
healthy,-0.13422097285489,-0.0295078561331705,-0.192551875254436,-0.0894113543394771,0.587726925217731,-0.511951728106807
healthy,-0.119613474003717,-0.0774511724952936,-0.463078019805398,-0.14321787422524,-0.367770571793018,0.500621199661794
healthy,-0.258062950367012,-0.170580775515628,-0.412838076643679,-0.156100014547343,0.216138911025551,-0.264565203212944
healthy,-0.238257898726949,-0.268334268623078,-0.365648424514815,-0.214352949739726,0.269744291197536,-0.442472583831437
moderate,0.107967731788146,0.0708372923128525,-0.64448488610816,0.0753084087652558,-0.0828776413813452,-0.0172414224827779
moderate,-0.0810213731207713,-0.10329419939303,-0.557553395128264,-0.0468833617691371,0.0832794056455684,-0.525630774344511
moderate,0.0171317233111116,0.181398439361707,0.504603126300599,0.130071366089315,-0.484565749901191,0.0358250186555173
severe,-0.0161318667721728,-0.0537931486015815,-0.670502875797928,-0.0824225255197988,-0.0757292912076492,-0.254448858538876
severe,0.512490143936853,0.0093546975141879,-0.222231605495962,-0.118329579197961,0.0169796536059941,-0.1997901504623
severe,0.523746319152447,0.539632720222122,0.421994339346694,0.507246493880881,-0.101805008593218,0.0167972440777034
severe,0.198146017906683,0.172990661940323,-0.724114647789505,0.0844143816753874,-0.329764086390501,0.0360718670910452
