group,CD45RA,CD16,CD11c,CD86,CD38,CD25,CD94
healthy,-0.0965937003796371,-0.572522309306587,-0.0689613421058335,-0.148834778476087,-0.212498792286781,-0.143674923603693,-0.0486225514459701
healthy,-0.175825816371528,-0.0933034693788558,-0.13601250380753,0.0243578444061455,-0.719631966109916,-0.0502622621943807,0.709986129369713
healthy,-0.219363454488719,-0.558852161899268,-0.106931696537854,-0.0410267523970088,-0.264701854597503,-0.0879678242031382,0.208176025808745
healthy,0.340815290893382,0.159797622536229,0.0236285740357457,0.471943611614812,0.351212576534702,-0.36208785512448,0.0807043436551705
healthy,0.447595944113355,0.128585639123996,0.0435504769971944,-0.145324557931959,0.53799733372537,-0.164924668483617,-0.12012338251101
moderate,-0.0219161430895876,-0.448805792071671,-0.133057988007743,0.190756294295378,-0.288031699575993,-0.0441698302738962,0.336261296510847
moderate,0.172157426961367,-0.164949174619259,0.0426630998425738,0.185647782605038,0.327681741248104,0.226031782034406,-0.0467664570210084
moderate,0.160808051579469,0.479721117218955,-0.402661653809841,0.142551360267609,-0.342360497374707,-0.212463532732369,-0.214420759142764
severe,-0.0090637240072838,-0.728711120285889,-0.161607085950498,0.0149687533112343,-0.0710812669612606,-0.0471636423974401,-0.0487827527677975
severe,-0.311158810740718,-0.533542043643746,-0.269409997894871,0.0205981192918159,0.154942345691437,0.120392496416068,-0.179134882028988
severe,-0.175069690355792,-0.577116680996791,-0.29543606046557,0.221450795660997,0.0438260648141388,-0.504005553940955,-0.219766794206042
severe,0.10668656375749,-0.359779055658081,-0.028285110790124,-0.212330530425798,0.376819245468925,-0.223964325258332,-0.253335413450958
