group,CD45RA,CD16,CD86,CD38,CD25,CD94
healthy,-0.264823647699948,0.0656230248503955,-0.234067701067794,-0.337185388306134,-0.185497952482604,-0.192406524575718
healthy,0.31750244183255,0.0191864854499999,-0.0053032846146183,0.713050171076556,0.0491211249082375,-0.731634918146386
healthy,0.116872038318756,0.543701247722663,0.10919789877027,0.474545145793463,0.141112409642616,-0.641907094748406
healthy,0.0527933158749372,0.260667619796368,-0.513361777382036,0.0472161455518155,0.682978051341034,0.104395620569267
healthy,-0.0771949358018315,0.37072782937192,0.300606911985357,-0.180005052295912,0.291045817338748,0.441966055128682
moderate,-0.0322169016284706,0.160092120616576,-0.157448851618684,-0.109798532434445,-0.396003523304139,0.267514123614184
moderate,-0.141369520020068,0.204677037688668,-0.0894925966117725,-0.251148395131399,-0.200168899996447,0.336365687370405
moderate,0.0980106927749077,-0.357310952690236,-0.270137021214014,-0.0995257607837895,0.132213532855308,-0.355851659470995
severe,0.127768380754809,0.694931964453538,0.052043931269237,0.0770461774262729,0.0571209238206613,0.249643091402944
severe,0.52850160091233,0.170665716105796,-0.0163470478290107,0.0265309461175295,-0.246104649456836,0.0932605908393307
severe,-0.102135383807178,-0.478399353984182,-0.182353038725197,-0.25608506359026,-0.0225919359957233,0.104033440407935
severe,0.0109988413571515,0.372400732254343,0.107190090010422,-0.0173759690559606,0.128622783812211,0.567264570975681
