group,CD28,CD95,CD16,CD38,Anti-PE,CD94
healthy,0.136785111326881,0.185164353837545,0.585014396880025,0.264840072780424,0.0312826298325599,-0.166136189726398
healthy,-0.19931147059125,-0.205266536219261,0.20623028215428,0.736106359348503,0.0397135144979811,-0.674472462280468
healthy,0.190355383372935,-0.0179841645359973,0.470348236203958,0.243088287229081,0.242568027514431,-0.133257072023882
healthy,0.042608576434172,0.0534444418883384,0.456846294369075,0.433740834347175,0.0672906138165215,-0.377969697449457
healthy,-0.134534991099228,-0.110781380103273,0.572903378061391,0.376126133167411,-0.0359246629866218,-0.150972062575778
moderate,-0.322274930351255,0.0544554539905066,-0.199671277381139,0.127073627122622,-0.115573328774595,-0.334088980109563
moderate,-0.102715856122267,-0.101780736040067,0.456613988155551,0.0009851832003666,-0.0488240630867624,-0.318604632804068
moderate,0.110141775302536,-0.143009147878792,-0.298207844853772,-0.281758446209602,-0.014678108299785,-0.160773648561565
severe,-0.142460808270697,-0.0930073645764942,0.608120371214689,-0.0778184706700563,-0.11063441569642,0.195823026947874
severe,-0.335710152623225,-0.0493978535455743,0.106085494000854,-0.147559557364429,-0.280141233911287,0.396301727135713
severe,-0.642082654447245,-0.559357690893374,-0.428151345189476,0.329447571461666,-0.573957783598227,-0.544285444554504
severe,0.0345645463536356,-0.102014827238101,0.701367453106017,0.198254872374179,0.0560088188150624,0.142581987608408
