group,CD4,CD16,CD11c,CD27,CD38,CD94
healthy,0.0699755331748584,-0.453369552035204,0.0314170777582853,0.175660838435298,-0.0494475936281321,0.303674628839488
healthy,0.0657646607469571,-0.36221101351922,0.121917991360907,0.0985413176382968,0.59245020214797,-0.630599946664955
healthy,0.204244338407647,0.171868423640518,0.0882348983490665,0.0012124413981595,0.209249383536425,0.19360279341638
healthy,0.148154996926078,-0.114084815860292,-0.0413950982946729,0.227233045712276,-0.472693897563683,0.654451444930994
healthy,0.46497539191855,0.109279021296807,-0.0558965847670088,0.490140858268286,-0.265779203578369,0.504381626753378
moderate,-0.038943740910159,-0.174148289764078,-0.367276046163767,-0.0014252943264826,0.0039966049297182,0.248571695980894
moderate,0.218533155827747,0.308839402452829,0.158916529503581,0.0538906681143679,-0.299232840325878,0.732548149480054
moderate,-0.135740861180084,-0.598770428001231,0.350926639237004,-0.057330279407603,0.369878792482009,0.158278950240633
severe,0.143244990798436,0.536452346883042,0.0310507215606248,0.125932466833053,-0.0075140230719147,0.322445539086905
severe,-0.0751116965483562,0.310326288608185,0.050298800160911,-0.0012897924272206,0.443449611409329,0.178876247437754
severe,0.139792217011699,-0.0340687656633952,-0.171855857755479,-0.0682547399092015,-0.513845226381685,0.410318015209725
severe,-0.0552577600403445,0.12378698788301,-0.604515113631428,0.0205860110137405,-0.462016455685719,0.413490178853598
