group,CD3,CD197,CD16,CD1c,CD38,TCR-G-D,CD94
healthy,0.414073737195531,-0.179365819664431,-0.306653814224342,0.311175636744348,0.258206731200717,0.117671442380239,0.133199754129536
healthy,0.100308600672016,0.0211342790224268,0.0264542238643937,0.0554418518472349,-0.719950653678606,0.0071967326794015,0.784471777382545
healthy,0.342069006553555,0.0290518360922331,-0.289111009728863,0.0550381051568269,-0.231746215637145,0.211606910828622,0.384118678420995
healthy,0.233229171051613,0.199252477204691,-0.0350996987241288,0.199306221621478,-0.373167065010905,0.271175524697863,0.475860372301914
healthy,0.287351628958469,0.229356707547982,0.136249263522046,0.198929575975064,-0.366431199894455,0.28935042400926,0.549244778283585
moderate,0.0245906619199497,-0.0074184356617141,-0.25305387924027,-0.400414515163783,0.0099583321548201,-0.219255168161997,0.139700939376484
moderate,0.452934352884656,0.0359647753275379,0.521182154868174,-0.0032132886978285,-0.269467225635735,0.219415274844887,0.553359003798328
moderate,0.16090812306437,-0.11792998295999,0.0927519887192171,0.341773538522401,-0.101649380260473,0.241309338966253,0.135680353556159
severe,0.124399883427824,0.139611587649223,0.689701906642181,0.150402191290895,0.21866780791199,0.171142483931153,0.210951634247334
severe,0.0975578992237102,0.202573351080628,-0.57255590994842,0.0844357080486842,0.0490021182013289,0.0084062145101627,-0.336346679000966
severe,-0.106808673758662,0.423151319800321,0.0623567869521782,0.144118548467814,0.164877621371756,0.237569294717478,-0.0551811704630053
severe,0.582621171160958,0.189911431406785,0.0408222409961525,0.121413829199397,-0.434035273808215,0.439936339174824,0.111100802905548
