group,CD3,CD45RA,CD16,CD1c,CD38,CD94
healthy,0.0482445420326902,-0.0764853077660012,0.13740850895995,0.15088042858195,-0.239709928449074,-0.142011715945017
healthy,0.144142903342085,-0.255448940585487,-0.0329286755823137,-0.157393763863218,-0.513606542899819,0.624733351794415
healthy,-0.287512781361117,-0.311352671096417,-0.306120127628909,0.0485740645405825,-0.150771362267821,-0.244608766171547
healthy,-0.0560375623553406,-0.35654837002888,-0.125451972189594,-0.0730050468941243,-0.324363293025906,-0.012989894807186
healthy,0.0626752537495162,-0.360998718617541,-0.301146274061127,-0.0042469921430473,-0.1782790406083,-0.133916023888808
moderate,0.0021934527705599,0.206920849609908,0.154999088431179,-0.115656217173187,0.478102694923938,0.153600336626517
moderate,0.0921819423215402,0.0252091243491284,0.508726763342284,-0.272373255452471,-0.182373931772351,0.281130963486913
moderate,0.0907493027261311,0.198722011405824,0.5940420147073,0.12813633370423,-0.300280122736697,0.205827818039957
severe,-0.159001030585294,-0.186901143834008,0.0910348699089834,-0.232579841189413,-0.291907969443907,-0.0564142388834942
severe,0.0941371532126785,0.554468116869877,0.588938136647487,0.0456321021694526,0.0868718220426255,0.0320212444647767
severe,-0.397529495155597,-0.264109040685183,-0.606978159334285,-0.51174269055849,0.0916860419902653,-0.116999133901722
severe,-0.548052706634331,0.179043851573597,0.619234718029281,-0.0854490052191909,0.408560355232261,0.0208081033636208
