group,CD69,CD279,CD45RA,CD16,CD11c,CD38,CD94
healthy,0.0773120509479531,0.499978944963177,0.158914625575952,-0.133057659178993,0.260463792945173,0.173996382559096,0.43468339558935
healthy,-0.0702120774807125,-0.19035866902045,0.0627958552505063,0.0497382593488515,0.134559895443821,0.282770711064407,-0.23358284967693
healthy,-0.0814700351301104,-0.159824486044127,-0.301515888285738,-0.302045640650746,-0.0945697360203433,-0.171162645449572,-0.209647950211059
healthy,-0.0822541899574167,-0.0541666053007687,-0.116505924724984,-0.0620626298466578,0.0227522406868248,0.306869759786954,-0.45539580606263
healthy,-0.118127572572257,-0.0406025339884362,-0.209296856446406,-0.446435721845797,-0.122936238738978,-0.0587366440769073,-0.195026415401786
moderate,0.465856892812154,-0.0357625062389062,0.266145393767888,0.384451111202538,-0.0043027689817142,0.237978878758279,0.014632072012596
moderate,-0.145172113657284,-0.0452695162976291,-0.225668755243879,-0.331295931324525,-0.159626928986871,-0.159200014540993,-0.541103272966075
moderate,-0.250874040944462,-0.0599329699594029,-0.179858723320883,-0.570712815563381,0.24231567120282,0.407287039904484,0.0767734161032482
severe,-0.0156467756146361,-0.0719234603253615,-0.177585118172657,-0.754359273682184,-0.0680632929048041,-0.047911418558433,0.0404200270297164
severe,0.156898438612302,-0.164472894056584,0.566634025355766,0.10721530273872,0.178972156229024,0.289021225261918,0.0400503271426653
severe,-0.108737397585511,-0.194891507383939,-0.399172571330765,-0.0260304524797628,0.0063979783795091,0.271434441984604,-0.407478562544858
severe,0.306427854268886,0.0362627453532496,-0.0261887853755586,0.230979073540416,0.591641357368809,0.521695743691985,-0.139440465735483
