group,CD20,CD56,CD279,CD16,CD11c,CD38,CD94
healthy,0.34082388811876,-0.0227720768097342,-0.136509228272485,0.24523333557309,0.106339304972257,-0.0783611451142891,0.102914489347138
healthy,0.0510882489466939,0.0982406373146742,-0.0042156825983619,0.0444408981937811,-0.107718967034461,-0.618433507160909,0.724715329524966
healthy,-0.164356637742525,0.0684372321728869,-0.210458336880369,-0.551878795473125,-0.141795672667342,-0.311940757339245,0.425570767285609
healthy,-0.126998707510804,-0.101951517735362,-0.130853153783778,-0.526981524872986,-0.133236143981346,-0.40848636148849,0.25043330098078
healthy,0.0394153728349057,-0.0345376845081454,0.0826308086854079,-0.377566651016656,-0.0806666532979177,-0.444525143111854,0.265450899293367
moderate,0.271136646995695,0.123665306116876,-0.269669472594049,-0.39097267680579,-0.149129087292034,-0.265529122703364,-0.0406998688280087
moderate,-0.0998443190385055,-0.276594997314426,-0.129170300034214,-0.266322398742251,-0.139588102284575,-0.211182507074322,-0.291157815275426
moderate,-0.0653020052997276,-0.153751050381714,0.060333067787052,0.515971736915712,-0.386527558811214,-0.191156982599692,-0.0628548900181281
severe,0.0063530425387613,-0.240580981386554,-0.190212038476831,-0.471258028470957,-0.401602011644131,-0.365108146679893,-0.0833026744479837
severe,0.271471993135667,0.140118885929498,-0.413068380379789,0.400184081320308,0.191701676473602,0.367739319661495,0.0869303824371994
severe,-0.434838290504185,0.0154014807626379,0.262935228943259,-0.0517188490793711,-0.0502942685448046,-0.129700538147303,-0.221272046221152
severe,0.0318675326901044,0.433807008913528,0.0616084211955767,0.551073463324192,0.0810101621807564,-0.0971562381271617,0.388114557039074
