group,CD3,CD56,CD16,CD11c,CD38,CD94
healthy,-0.0877683625702389,0.0574398737655869,0.290528550916923,0.123852109999533,-0.176243214479297,0.245853918305509
healthy,-0.0172106441605284,0.158081976381021,0.0929035717840644,-0.124775321638658,-0.636456875710171,0.784884415755528
healthy,0.192513519049474,0.0440111868773264,0.637750303689585,-0.039648203597522,0.121724765016151,0.0612960459256183
healthy,-0.0607967793512949,-0.117994410636754,-0.143475073028168,0.0442711663703713,-0.175234027751871,-0.327249507625458
healthy,0.0174350929459007,-0.212951683099914,-0.315029114464976,-0.09329954134622,-0.257720150040674,-0.22370087088705
moderate,-0.162673226322886,-0.136934897196553,0.195747629372877,0.200728030060799,0.285535694569002,-0.0132502731182879
moderate,0.475405406701225,0.273189474674318,0.567235285339111,0.206081272888476,-0.391096694169257,0.191812065457168
moderate,0.266180937282049,0.005362978465975,0.448346287793252,-0.11655919504895,-0.531298527734831,-0.159773303304045
severe,-0.192127478322819,-0.130044524897049,-0.271460999238797,0.18449640116365,0.122273628669519,-0.110638385165166
severe,0.0385027493501434,0.0284910941155902,0.152609041927514,0.0729393515200495,0.101609548672088,-0.169001223755759
severe,-0.154480728403268,-0.283592599109373,-0.318761874716044,-0.222800188274672,-0.0164433207297978,-0.168382964053882
severe,-0.540685069370428,0.467106853609491,0.377397110868529,0.577296490423517,0.565868347417612,-0.0277460920618374
