group,CD3,CD20,CD14,CD16,CD11c,CD38,CD34,CD94
healthy,-0.200093813485,-0.0269611038282134,-0.475890030501929,-0.361126820310578,-0.344951765291095,-0.158766865357455,-0.592065043946111,-0.427051014573655
healthy,-0.0685619026908895,-0.128891836468974,-0.0523176062799341,-0.0453719677171048,0.123047099274812,0.506738303517458,-0.189165869378618,-0.496488606467268
healthy,-0.216778023499362,0.004563203764587,-0.0443723275106368,-0.180000162609904,0.0561290008543746,0.0409315535083346,-0.182334926418775,-0.175890424501708
healthy,-0.0766842625550306,-0.0900997967012571,-0.09297084808398,-0.568590384467103,-0.0425704327798821,-0.0941067862990126,-0.0840319366307815,-0.193301309801354
healthy,-0.0250431041393718,-0.0559176542402886,-0.0450762768299346,-0.4998737816142,-0.119848313860252,-0.0790996034310322,-0.0700728043167725,-0.210745499489613
moderate,0.176360885701674,0.0315932191620072,0.0494520870211681,-0.161182260811011,0.0436533912826111,-0.0612505928516487,0.189086903879843,-0.508956165765222
moderate,-0.105370358098926,-0.129555524527253,-0.110061113002624,-0.277378924254922,-0.0831066430227119,-0.114183353801954,-0.250839711736659,-0.109822579629857
moderate,-0.277011402564299,-0.0112571855263932,-0.0462298474009449,-0.603081410415826,0.266911922647647,0.370835407447512,-0.157686095226334,0.0658263346409185
severe,-0.0106530765655216,0.0492289955512492,-0.0724971400676242,-0.668754732369175,-0.176541602919565,-0.0852732895269655,-0.0840689781434953,-0.146415354940594
severe,0.0119326282930276,-0.45706979795748,-0.156431610016775,-0.176760603602,0.0138297589099205,0.108689784459632,0.262436051954903,-0.229730907847586
severe,0.110573157614302,-0.149671089444873,0.0303427241887345,0.0445698811841405,0.242028337201325,0.269896085575371,-0.0381261280544875,-0.311724008220028
severe,-0.500825504948026,-0.151868221905488,-0.0461144683499354,-0.0678121215441349,0.498842995094017,0.557903205202911,-0.0005560845261026,0.0588874843537298
