group,CD3,CD14,CD16,CD11c,CD86,CD38,CD25,CD94
healthy,0.16431718001252,0.0201534156242184,-0.333488639898342,0.0757957034476395,0.006228975977641,-0.143783095397086,0.0934361844770322,0.179692710968775
healthy,-0.0467156202461119,-0.0488064967716533,-0.322012430024809,0.0545254650079499,-0.0268259832927122,0.504741746593613,-0.0616797857766578,-0.623555603235017
healthy,-0.242008854744316,-0.000838275832389,-0.443690927260001,-0.0391774339795777,-0.140685469085277,-0.0866247996607725,-0.146306909160082,0.0546635300442868
healthy,0.042688022118161,-0.0049377240553404,-0.235193053295594,-0.0363770220136786,-0.472361841428445,-0.285370996071606,0.276536080980047,0.228320505018414
healthy,0.239692981152794,0.201553351193179,-0.243375553294919,-0.0583145936877196,0.137952115082465,-0.357964343281423,0.189532957120366,0.275631543523805
moderate,-0.127687226223711,-0.134869941560733,0.295254512621707,-0.00167782276528,-0.0317963136421689,0.0049149463945544,-0.515409190420452,-0.0629800370463102
moderate,0.147240470357555,-0.0126271255938599,0.506444773949183,0.145541925875763,0.20969064612959,0.108113167854867,0.0430043261373127,0.444774180944568
moderate,0.0435359507643227,0.0194644011225443,0.400429833521934,0.0352933842024407,0.0311619227760227,-0.514722954505254,-0.138674155262766,-0.157474235362151
severe,-0.156591495859546,-0.0546685244491306,0.0286613749368773,-0.321052297496358,-0.127924264492742,-0.362800018875978,-0.177941033495809,-0.0392505886465606
severe,-0.207478717240537,-0.490635883960677,-0.246281839032523,-0.11827502201527,0.0121582677841713,-0.270303476941764,-0.235687729879036,0.217548457910458
severe,0.109546480199128,0.118540289947798,0.0917735926454712,0.15307248807446,0.0001375470780503,0.20145631821351,0.0389197442835416,-0.130614822583853
severe,-0.477923637277526,-0.0024234637169861,0.120922290809363,0.6176005106989,-0.0146620427904307,0.526288605655299,-0.0274465699833784,-0.07430404807098
