group,CD3,CD4,CD28,CD16,CD38,Anti-PE,CD94
healthy,-0.447399510610274,-0.388098680011225,-0.253752713282541,-0.265313273722062,0.107626812050627,-0.309546701667783,0.0842167169142361
healthy,-0.0640576243930912,-0.0610182055357987,-0.13135878083395,-0.121268176434939,0.642298416873401,0.0049924502792922,-0.712965676886685
healthy,0.151892576009616,0.100828830751638,0.160382231855179,0.548655626139312,0.0844614246810246,0.20774788739349,0.011145024632147
healthy,-0.209737560398409,-0.231430304068211,-0.220786920102102,0.0688927925873718,0.199401772364567,-0.155229440711832,-0.66927830996562
healthy,-0.249666929185729,-0.301143375248164,-0.259196918139211,-0.292593766644973,0.288430671810729,-0.141572600156999,-0.441615309264162
moderate,-0.0086003055408186,-0.0326682077338364,0.0648500115211412,-0.0626412974594124,-0.189595769694813,-0.22169692805151,0.145086741578485
moderate,-0.113556978738985,-0.053658232437239,-0.155332016878225,-0.0133883148909715,-0.0218031079792355,-0.138393860335925,-0.514589865475682
moderate,0.187176921318331,0.0503116787094908,0.107401485044558,0.441075415810194,-0.295607173686998,0.119396699923729,-0.0928874411060649
severe,-0.141923336982238,-0.189476785485342,-0.201220441271433,0.364132100335386,0.1097573427981,-0.147616288340828,-0.512926133087191
severe,0.0673944082381228,-0.0157754401273594,0.333230843410858,-0.279174219204787,0.0103969205297867,0.0092904434348533,-0.406912084459453
severe,0.0993823737888993,0.291753692738247,0.354856855588859,0.0602702460832353,-0.195097778388682,0.424076864000899,0.0242550836071115
severe,-0.478529367637231,-0.0723535388881147,-0.0324271454863987,0.132633431403956,0.437281289813188,0.240523140063913,-0.151127225569072
