group,CD56,CD69,CD45RA,CD16,CD11c,CD86,CD38,CD94
healthy,-0.311395355893191,-0.218511819817284,-0.250592452004933,-0.540961158528769,-0.200341610635776,-0.153590897020817,-0.163361133612194,-0.0788836788988349
healthy,-0.301801377065452,-0.0960968874716986,0.007576544595634,-0.202619133504846,0.128422600392843,-0.0426133558535733,0.444502740443329,-0.0913579462774432
healthy,-0.193504957519028,0.136267812460381,-0.379038073820869,-0.420878154284252,-0.124912234536098,-0.0215161322334674,-0.301639554841339,0.284317798616513
healthy,0.0668720920608494,-0.0342642959777486,-0.218895571467288,0.124442364660144,0.0015198155117018,-0.483760953197474,-0.001180043776923,-0.0208589133114823
healthy,-0.282983597638057,-0.141561826317011,-0.136199707258524,0.281005836515365,0.169941112809184,-0.0530520542634632,0.359054046998324,-0.284736049623532
moderate,-0.206710027046506,-0.479717930428056,0.137547563927441,0.0719192686230535,0.0671150534244385,-0.25582982803355,0.250737189085607,0.0557711172333693
moderate,0.30611451591978,0.176011902345163,0.0832067500786186,0.436563730099152,0.190899651034789,0.272288904687762,-0.167562253249197,0.644939552686235
moderate,-0.746030432392214,0.0962262813871434,-0.0728084128374414,-0.211327058502485,-0.409930671688026,0.100188427467761,0.150546047444773,-0.126182416456202
severe,-0.201704863514462,0.0140622340455499,-0.279750876984997,-0.466127955891723,-0.288496714441509,-0.0923174116999296,-0.321355245053927,0.0758499911074074
severe,-0.225642963594714,-0.0469153669304786,-0.555669766240517,-0.460851770699611,-0.15086594404909,-0.0764188573096914,-0.163299884877807,-0.130051361442465
severe,-0.220857234136228,-0.0297741517678939,-0.224342234067256,-0.340140367225705,0.0487204342910216,0.287335846047095,0.290749361344969,-0.0381102442007365
severe,0.254521364780737,-0.200134852574471,0.028107293765761,0.175999667485604,0.497809313681904,0.0140757740723067,0.656570145844555,0.310771482392879
