group,CD4,CD95,CD16,CD38,CD25,TCR-G-D,CD94
healthy,-0.385543960169666,-0.313311914041255,-0.189257118093096,0.344692992726059,-0.157214985242363,-0.0828764998965278,-0.0152621384086149
healthy,-0.0814044032689876,-0.208089199015393,-0.0576187822508251,0.575335122732328,-0.0392231071492728,0.018664696305965,-0.750512926313506
healthy,-0.124905370015085,-0.106420151062412,-0.384642954901006,0.0221247043919394,-0.138024719035119,-0.165268716576982,-0.184217856109493
healthy,-0.260123431556405,-0.136649478419376,-0.261146988343021,0.259782780112371,-0.581483157640137,-0.305935089475031,-0.342781498122535
healthy,-0.341460335797963,-0.235628797245041,-0.33677499319356,0.271109946163141,-0.260151902983193,-0.315070643244639,-0.466667567964725
moderate,0.0680356165619852,0.395464290851831,-0.199529923249837,0.262789082901522,-0.0883482518106709,0.354273792836331,-0.170085518784193
moderate,-0.181310784069679,-0.132447499912946,-0.535564748454319,0.158091268159366,-0.0454643032580016,-0.140614486997466,-0.606898202413846
moderate,0.0163588852231777,0.0844813742447843,0.338304262651861,-0.353296644579129,-0.223468062674189,-0.0455970304307615,0.112757898176973
severe,0.0078146112644974,-0.0081012876689216,-0.717344895200638,0.084234319906027,1.17512394051594e-05,0.0320888355615566,-0.169006623174586
severe,0.126151381313497,-0.160833869767574,-0.60897957572738,0.0050573112768169,0.118586659802666,-0.0443453494373798,-0.211017934481782
severe,-0.672497232303951,-0.604458311004738,-0.544381933265999,0.227471634378533,-0.332067228931079,-0.553211239476701,-0.654545154661302
severe,-0.145152920929633,0.127176963106673,-0.444884632933291,0.493182448204593,-0.0647232985476697,-0.197925653937337,-0.261469932254639
