group,CD4,CD8,CD19,CD16,CD38,CD34,TCR-G-D,CD94
healthy,0.362322767341132,0.178934406824361,0.108852395880601,0.529322733622381,0.0668542532337923,0.232416705182504,0.147248310640441,0.0323183100709964
healthy,0.0468378583989331,0.0644806899197326,0.0295209477248111,0.310505295871591,-0.735965403659494,-0.0253182133666482,-0.0092013266151596,0.61769749642898
healthy,0.193899005950665,-0.156695563610028,0.139921218350275,0.439305530188497,0.106191097708737,0.148517487110794,0.127920250463907,0.11662650623365
healthy,0.199793175302538,0.234363801470137,0.224968083101131,0.45642934042335,-0.0734951870890332,0.180480724600347,0.258053321059752,0.0982782064930666
healthy,0.0741038663121006,0.152267726850883,0.0558515483786563,0.36112495508673,-0.0073854145793628,0.0627716246686436,0.166185484971119,0.252930383280252
moderate,0.167761691352817,0.569791265063665,0.30094471460782,0.47804896341709,0.119574908821174,0.0147027584400585,0.111869388999322,0.195020026273886
moderate,0.254738872440574,0.249239025382473,0.0754449720215721,0.501872367683314,0.0198188534854018,0.107816064825213,0.244991037028924,0.334614428188228
moderate,-0.111895734488978,-0.159075850783928,0.185727294859982,-0.521548185329397,0.308068645097582,-0.134024589888562,-0.0860746251728595,-0.211668782214105
severe,0.124869493496247,0.13966277919265,0.123204766395111,0.748313481388538,0.160909248292771,0.109333658745627,0.116222138124761,0.1309106245348
severe,-0.113180039975402,-0.229207300152352,0.0622830717188202,0.534818778181604,0.227638505236492,-0.172815259076015,0.0281086364206166,0.200293473661908
severe,0.558483276006523,0.43152350563899,0.632711839162123,0.440636384815118,-0.385067702079921,0.579263429388999,0.615553088371182,0.339092226676571
severe,0.0589118850850142,0.0011427815380233,-0.0248243598427823,0.266361770657445,-0.560814538965116,0.0111314673790769,0.163125722005956,-0.0298367091482844
