group,CD197,CD16,CD1c,CD38,Anti-PE,CD94
healthy,0.0357449068146522,-0.136976437217174,-0.369885439025327,-0.291325232817381,0.0233288134486961,-0.111124592097959
healthy,0.035043166232941,-0.409735004621512,-0.0274101062975156,0.707397713929034,0.102544331493844,-0.433274081651564
healthy,0.196145222125506,-0.101445586677656,0.11231680842095,-0.0457433620717801,0.508237619741755,0.24376130830832
healthy,-0.0902488430965426,-0.219131679923162,-0.0448489845093719,0.572159031125561,-0.0567835609551174,-0.31986159378622
healthy,-0.233693335876486,-0.340019187568697,-0.180825586977527,0.135383295360579,-0.165821190361538,0.0819612597369456
moderate,0.284873526604461,-0.323750220454635,-0.0601290305792918,-0.012366570261908,-0.0295330904833108,0.174297327506999
moderate,0.150306487308116,-0.311137440936058,0.120720786952317,0.438576462682766,0.0924734657937277,-0.608296980403019
moderate,-0.128705704505976,0.171610198170616,-0.328997842080334,0.370871568150675,0.0320922692927878,0.210011677826956
severe,-0.128432289273186,-0.635320301419944,-0.157528199488426,-0.246861927637727,-0.071631662586832,-0.166018129941603
severe,0.510601365851761,-0.206406683555484,0.0185106306269077,-0.114133198349573,0.367702361123625,-0.237150170729475
severe,-0.213103467910799,-0.307063563614758,-0.522245256843594,0.192123622664165,-0.24060194518348,-0.253703385092156
severe,-0.0338326645813589,-0.0340960326994229,-0.0803707089969978,0.471213904149514,0.006119280204153,0.314252222703104
