group,CD69,CD279,CD16,CD1c,CD86,CD38
healthy,0.0073029610744919,-0.468858866865716,-0.145340392402838,-0.144507589942674,-0.186580591917286,0.076818020113125
healthy,-0.0040400808796446,-0.204286081860793,-0.393023008806199,0.179623077202282,-0.0575357713942122,0.333857412296732
healthy,0.126427838880778,0.328015054324119,-0.0020598077154034,0.518255713042783,0.253844912771286,0.0001040869094029
healthy,-0.143758310007682,-0.0716779099671493,0.173325427240997,-0.0768720508485102,0.518279166620948,-0.211260745721668
healthy,0.112255371230175,-0.0782413122592449,-0.103399340623723,-0.029599602642455,-0.0054660778225052,0.12747034480565
moderate,-0.0013738866726137,0.0688780870909339,-0.633866192426412,-0.378805103915007,-0.0291280915183506,-0.352324164738906
moderate,0.0840142535138716,0.120146939424881,-0.185138055837969,0.171149099951278,0.146825092619212,0.34660169471547
moderate,-0.161695511165686,-0.18762819263189,-0.57333431441901,-0.131035146698102,-0.166330969115756,0.470029147229529
severe,0.0762671908336413,0.150778773574546,-0.12959718538903,0.234304115107446,0.219841147144059,0.283572337733174
severe,-0.26728948105819,-0.156389230664758,-0.510565888369193,-0.133813538765685,-0.0013233748184151,-0.144430227332817
severe,-0.0596855116084509,-0.0846338868865041,0.142876741140564,-0.0295170163568278,-0.171865074023861,-0.450772613603146
severe,-0.479331266626789,-0.0185008468766289,-0.405898110302223,-0.124135512836177,-0.128883353470888,-0.195624763524441
