group,CD279,CD16,CD274,CD38,CD25,TCR-Va7-2,CD94
healthy,0.237664871399017,0.571503835768582,0.332919604646928,0.280627106111518,0.266396489013933,-0.0172479505678051,0.103909104741263
healthy,-0.164298399138283,0.0421773626266565,0.0280950981288873,-0.640980780751426,0.0499589324515258,0.120993728760647,0.713360628502005
healthy,0.0636843831613674,0.188839443148382,0.225452371088965,0.245433304070336,0.190457076262232,0.415908664127508,0.291384261972825
healthy,0.221599770392826,0.240614957376098,0.179632260131826,0.256147913431125,0.371696690618796,0.206768434042555,-0.0131493065111918
healthy,0.0132093936446252,0.424946169832305,0.0753682095504147,0.101325093733313,0.0327959431624069,-0.048947133774197,0.135572435090512
moderate,0.138448034949096,-0.188125214928879,0.411235316696533,-0.001731790781008,0.405380886735981,0.23668873286699,0.229280069557259
moderate,0.187561731929766,0.0364371303118183,0.140007186253993,0.274509937777388,0.198740136852635,0.214648360450471,-0.230492220526834
moderate,0.0824791142808418,0.569719873471708,-0.036235310720489,-0.503966788982486,-0.10779365685966,0.0419627191907423,-0.145004853639405
severe,0.163356762777574,0.615211578720155,0.196441461628134,0.263572617634259,0.137813628632749,0.0405097965638429,0.103628106194856
severe,0.372349000674566,-0.419470625772658,-0.0211351316216805,0.189330796463586,0.0555526683450006,0.13357325276512,0.0482074592995474
severe,0.4381108876775,0.343731953967328,0.126419102084562,0.287809391318435,0.119600339953117,0.0302999658499992,-0.208922137642637
severe,0.172751812986812,0.131130353658027,-0.0807858736107148,-0.501987329647719,0.0923014269721788,0.057929728866901,0.0881935548467109
