group,CD3,CD69,CD279,CD45RO,CD16,CD38,CD94
healthy,0.364456336112213,-0.115669725824814,0.283123314107056,0.174329116441802,0.0342138459408668,-0.062356135552131,0.330978933424562
healthy,0.219087899108446,-0.0526903528616197,0.106153989409341,0.109380883127223,-0.431847945245863,0.137635031552089,0.0077634996299246
healthy,0.331035658524316,0.098441941984433,-0.0042948128105478,0.14776656366781,-0.307162390786456,-0.195923991444188,0.629496106132473
healthy,0.195212326178678,0.139108418237183,0.072875558269283,0.187754096569293,0.199697822907416,-0.204048274656922,0.482183589384112
healthy,0.266520574574422,0.180686567924142,0.11721303104851,0.299394406913887,0.16419753610876,-0.278533244582795,0.521889908306301
moderate,0.131395103905194,0.620499519066569,0.0922696764500188,-0.0257824863842676,0.144406095500577,-0.19408686618252,0.249842094034111
moderate,0.376119756879018,0.206645027800535,0.0158014935693487,0.130267552181783,0.35489930768862,-0.119467555374223,0.618015883555678
moderate,0.152841884342791,0.297893166559348,0.0489989280631651,0.0305196680722968,0.491388598463651,-0.573110984435768,-0.0977855983694695
severe,0.185803386521702,0.190107496050844,0.138650336101008,0.194330607181341,0.50382558466899,0.173835029984645,0.343745599377102
severe,-0.20599237453964,-0.0854666977291513,0.140975847339264,-0.0067385641674002,-0.189109970411642,0.0479463490887218,0.274560903661598
severe,0.107287789885744,0.317430876106095,0.551459843329068,0.471203019148535,0.155977481350484,-0.176808429967805,0.264137518378713
severe,0.461636353353862,-0.263966004981122,0.153354990654112,0.198189654691179,-0.0822285313083255,-0.479808194867371,0.316807840456201
