group,CD3,CD20,CD45RA,CD16,CD38,CD94
healthy,0.329641070909627,0.0214569916698089,0.294193649545424,-0.130507938057734,0.14290568866892,0.523300977346915
healthy,0.0524950650570215,0.127729482204946,0.154759363059574,-0.432275375738777,0.479887584944026,-0.428127827362103
healthy,0.342051284124678,0.0102001575036796,0.147060050436459,-0.419871721757448,-0.214249637027352,0.513598749737735
healthy,0.125717070671944,-0.0501820562562769,0.0359098648956235,0.0103165798037142,-0.4165548204955,0.6055607968602
healthy,0.269952098763907,0.0268264266323672,0.0812368558341714,-0.0095271682577586,-0.336089698090143,0.5324615084556
moderate,-0.0637750677127753,-0.341974638828422,0.204094617792962,0.415945240002478,0.268093628705401,0.223815001372174
moderate,0.340991622789292,0.102153204865926,0.225363732181873,0.231996864292167,-0.0094675539138891,0.558520469064936
moderate,0.320485596703048,0.0584762359169221,0.2042580478532,0.525911037853258,-0.409142741444093,-0.076030349453455
severe,0.356164413076998,0.42331987470597,0.525455275063371,-0.0176785302567985,0.147100251257188,0.315423480118571
severe,0.0462035530788742,0.382007057171981,-0.134127621584589,-0.0280995592483994,-0.249678001939717,0.250889499480506
severe,0.0785408222608554,-0.0226174278617948,0.28623210507194,0.0237728836707426,-0.591412575104993,0.237556136202795
severe,0.62365114307147,0.144090621308959,-0.139786480742168,-0.458451881925988,-0.500697507574691,0.18812897099906
