group,CD3,CD19,CD56,CD16,CD38,CD34,TCR-Va7-2,CD94
healthy,0.485790552068629,0.300330979099259,0.107252874150001,0.237178302512795,0.173536588946695,0.637925164691768,-0.258594541075368,0.194707441749677
healthy,0.0576635221748684,-0.240981601280802,-0.422496000040112,-0.0901408150727615,0.568773903445518,0.0422790370492326,-0.0145243642533491,-0.539647966747002
healthy,-0.0412121450903535,-0.0629860090977949,-0.261728607059006,0.308494020303669,0.135320238827559,-0.200784935103886,-0.432370072507003,-0.580577441169048
healthy,0.358840597231585,0.150320455086232,0.119810319545899,-0.296509564624062,0.233020159232478,0.226192633976181,0.332051830612125,0.129265586719555
healthy,0.247474370754998,0.130590149917009,0.211080833087448,0.452496858870092,0.133165731195015,0.114374930047109,0.0360660313769249,0.372286557841272
moderate,-0.286401955749727,-0.0558288071411433,-0.116684580155832,0.236539004899818,-0.0712710040332294,0.0846737431037013,-0.135310053425259,-0.0196558214810496
moderate,0.100129348922996,-0.220304452610258,0.103720765777089,0.338027875840514,-0.0968708654162968,-0.130810910807476,-0.245639834713762,0.551757223383348
moderate,0.230996129138617,-0.0934464579703501,0.201577108881873,0.591004731642472,-0.307024915710822,0.0932141790474446,-0.0103293482027635,0.0726832616238555
severe,0.0174113746804851,0.169908583617364,0.216703802574041,0.361032257819195,0.104881875692398,0.0355839932256341,0.15680442187602,0.630718109803373
severe,0.0210778880368063,0.0365656963936682,0.0932449660687982,0.260485510766197,-0.131906577655333,-0.266961008427445,-0.177588795674961,0.238371078138097
severe,-0.0394244127427039,-0.404968568393159,0.0740982352246913,-0.124713573904356,0.332319170092233,-0.242779777656319,0.0491989276005073,-0.436933607658713
severe,0.488645598870525,-0.0267422012993831,-0.100790807022865,-0.146777180887571,-0.318025856931818,-0.0388113584645001,-0.0228862401043903,0.269752126283261
