group,CD279,CD16,CD11c,CD38,CD94,FCER1A
healthy,0.183099114080975,0.108440312679714,0.220525993873234,0.131570662662916,0.461857568484769,0.208041403539817
healthy,0.0765240930534172,-0.107033313096969,0.113953616700696,0.722277644478558,-0.807254255741938,-0.0200048331204034
healthy,-0.0561654492776155,-0.68893345260061,-0.0470294987697576,-0.320726009969268,0.411243688249015,-0.0501164449151776
healthy,0.0246030958619861,-0.516870649118049,-0.0734961760607997,-0.234442971940345,0.53035813985166,0.0308699266344993
healthy,0.0407694719303699,-0.0850249302329428,-0.138640528221939,-0.221667660372964,0.384581381768141,0.121864429606475
moderate,0.206757010763761,-0.0063159595940853,0.124484592242883,0.302887852876606,0.43505456164421,0.261551590053261
moderate,-0.103719965091789,0.174545738305821,0.0223661978483192,0.272691741306547,0.28563247644902,-0.0514781998480235
moderate,-0.0980096484833557,-0.479640430382318,0.0790793494734216,0.495773102379338,-0.115010935441446,0.0161941703089011
severe,0.0529316625108889,0.746734761551998,0.124932495249068,0.114842212638179,-0.0935863552373854,0.0069931393575096
severe,-0.212533573031863,0.641464110144495,0.285525258346062,-0.159775590861622,-0.0836695580810444,0.0704324465436269
severe,0.454220178647375,0.45500273178161,0.156767577192037,-0.234479702465037,-0.0022236677495941,0.459858780316123
severe,-0.132955854659868,0.111962779016785,0.461999943748676,0.512600905425843,0.279231834372205,0.0780287719539227
