group,CD4,CD45RA,CD16,CD38,TCR-G-D,CD94
healthy,0.104072075675305,0.0608913863265365,0.0199434254879737,-0.101445928344776,-0.0577405681908603,-0.274878532344364
healthy,-0.0496317717572994,-0.325373720285313,0.198600710968431,-0.651285012139069,-0.0866353718501035,0.692504427553115
healthy,-0.153450951716802,-0.223627201908561,-0.570327941887188,-0.176478334432829,-0.173960260189564,-0.0851604321046368
healthy,-0.220478622591958,-0.099551986292258,-0.290942039561586,0.351307890229412,-0.144732984204166,-0.526219568696864
healthy,-0.352457112529707,0.0237921465092791,0.0474774865807363,0.41867087494224,-0.229919464759229,-0.587431433944026
moderate,0.0567160333666318,0.0448771355175612,0.477584208167204,0.0273211937428998,-0.0031970646898334,-0.322696101784089
moderate,-0.329222241041959,-0.0643943250405541,-0.0767631668732249,0.539579498732875,-0.228433394289414,-0.499827254562775
moderate,-0.110271096009087,-0.239923403801881,-0.539708486918153,0.465269905592736,-0.0442505464618762,0.103562448385782
severe,0.131272875654669,0.145463219709271,0.420666766652449,0.286029505713124,0.150054869761357,0.178255552370635
severe,-0.0691270757309959,0.063531670729702,0.533934690178206,0.0889896898188746,0.178757282912217,-0.217507887778499
severe,0.625534177545239,0.600844648228902,0.656165794900513,0.311397522926669,0.666643994705991,0.521809295147068
severe,-0.0975970323260453,0.0951827287821473,0.326184978801698,0.257572503503216,-0.0977530640185187,-0.565947670392586
