group,CD95,CD45RO,CD16,CD11c,CD1c,Anti-PE,CD94
healthy,-0.125576081189173,-0.122609744123984,0.051491999283589,-0.154865237787894,0.0534772638491687,-0.16294555310876,-0.639816064799055
healthy,-0.031598821249945,0.0834592462862192,-0.49489153678046,0.0393347838815842,-0.170114767825741,-0.111196063935763,0.0203421005955612
healthy,-0.124104223364339,-0.0036029232570786,-0.0671386648463283,0.122374438838786,0.0317516759851586,-0.301163187453341,-0.420355222751152
healthy,-0.0240306293301924,-0.128866765684962,-0.2700197638922,-0.0091014433936226,-0.094096780122337,-0.08242713530564,-0.502241506854719
healthy,-0.249380686497138,-0.336744510076474,-0.125358863597067,0.0561097444097215,-0.178157841176807,-0.141538223965068,-0.429800942012836
moderate,0.113529396611725,0.007556244930472,-0.18787677433447,-0.123552468484394,0.0261268772767533,-0.0304484121672606,-0.174931455371673
moderate,-0.157895033782314,-0.0885970601659588,-0.263268086155756,-0.14305594382469,-0.0792966017760704,-0.122560112522264,-0.365189603282427
moderate,-0.48550561935772,-0.174399636388568,-0.219880686521054,0.592364107827392,0.0093879370411522,-0.252875104598661,0.260228680963922
severe,-0.237119181159237,-0.201073181614129,-0.522173443227164,-0.113436797200665,-0.212359162678639,-0.115571145075999,-0.220739782660805
severe,-0.0845940155426804,-0.059434597853481,0.151084053451739,0.138401648580817,-0.203280356795048,-0.604975179437252,0.0019537054171208
severe,-0.106495214256863,-0.5257687737815,-0.303643004813212,-0.169803030467936,-0.46176969542414,-0.358267080913337,0.0418049536923698
severe,0.339202880102782,0.0828137437112504,-0.137422955799866,0.183966052857091,0.189016541836841,-0.0886953794546235,-0.287233314279459
