group,CD38,CD94,CD14,CD197,CD94,FCER1A
healthy,-0.325550644982417,0.174394304774008,-0.386280815656123,-0.0187711990064215,-0.329805649319437,-0.263508506288524
healthy,-0.769843567439646,0.680433057530464,0.0477653036090629,-0.0104776871387351,-0.622564947409026,-0.11340825815173
healthy,-0.011941194935384,-0.0043110899071171,0.173608238358568,-0.187382630767797,-0.692476622162437,-0.154848041124782
healthy,-0.553295260867112,0.383238341146973,-0.0251330223084714,-0.185549971889958,-0.358089198643596,-0.084379378210482
healthy,-0.333383451755879,0.0281379262680693,-0.0854081363730213,-0.107525202706206,-0.459692499992548,-0.0414297932795138
moderate,0.071425131272083,-0.0034062949487595,0.0212335882516539,0.243271301078452,-0.370272830225631,-0.00025735878649
moderate,0.0813633661972573,-0.125220543521118,0.18160421219483,-0.189333179556333,-0.231980691233747,-0.226316933281343
moderate,0.380589757125823,-0.147322005061713,0.0534407873859041,-0.0476475273831428,0.226277768460538,0.0742694996739036
severe,0.4030199733239,0.0804357576609186,-0.115166146040514,-0.18329205534506,-0.28927493142456,-0.248895097076151
severe,0.0427966263667965,0.122845091753357,0.67713377597964,-0.686918166277004,0.370458553078223,0.0501879555556407
severe,0.0988650385666843,0.303616173502277,-0.24826492874332,-0.153021130413796,-0.475249113497874,-0.725829675149345
severe,-0.482896913497835,0.396297002643964,-0.0414102274114809,-0.134650761451199,-0.424604071969227,-0.0795177716952244
