group,CD16,CD11c,CD1c,CD38,CD25,TCR-Va7-2,CD94
healthy,-0.0416751406329804,0.245220976904732,0.0392962767779738,0.0206396243788969,0.244647705979581,0.582740412306235,0.231908576167829
healthy,0.307899453012337,-0.0457888175467807,0.200502417530138,-0.284470023343169,0.0410536410370143,-0.0314192297251393,0.367038279625025
healthy,0.621195418405849,0.227533425469416,0.0231721269940988,0.5590993189406,-0.0435494597337958,-0.266249105310661,-0.550995666436887
healthy,-0.240902833425743,-0.0771478192110598,-0.195027094344808,0.309499855974144,-0.578063809220595,-0.361750222198893,-0.316941697729738
healthy,-0.106084606169268,0.009735795439533,-0.224421856191814,0.525388017106902,-0.275562887834589,-0.185335764972672,-0.408835245111663
moderate,-0.0811736807648109,0.0903388632968584,0.208671015772241,0.144898870427262,0.168034362824132,-0.0476730986192055,0.0199364659076455
moderate,-0.57371291665586,-0.168627896600212,0.0641822269599956,0.34642972744502,-0.0214645011627221,0.0150440566968519,-0.587753364123134
moderate,0.605254191659546,-0.278602378210334,0.0441687121892817,-0.42140861632393,-0.132138920252116,0.0237178075174263,-0.14041082763753
severe,-0.194695808860008,0.194098527790035,0.179151164592934,0.35939963765762,0.121772842486042,-0.0111395267605632,0.018739251794247
severe,-0.0119985181320752,0.0120036419094272,-0.282289985640749,0.37541959688714,-0.257927097039156,-0.0255271351842364,-0.0090344612604822
severe,-0.433453211331872,-0.479300957853175,-0.536248678557066,-0.0401340094319804,-0.381084884000588,0.0222884494557622,-0.518148795928505
severe,0.112942608309741,-0.546922118690625,0.0588039988396723,-0.340729234304095,0.021191395862449,-0.0006646292458294,0.372843085665262
