group,CD4,CD8,CD197,CD45RA,CD16,CD38,CD25,CD94
healthy,-0.112972500079629,-0.456322311083555,-0.141997075799791,-0.217469648614033,-0.182949499497673,-0.158292662258625,-0.262073071672902,0.0066608535019926
healthy,0.006307900099221,0.0070809694118795,-0.0329967239664882,0.221207655200629,0.0014161692097258,0.676815020053685,0.0836272640821807,-0.669446422672
healthy,0.154929020063098,0.102138354955177,0.189175088678424,0.0689699700322166,0.10101697976561,0.310017984126113,0.136733677117027,0.0469968975742267
healthy,0.257992835832953,0.205318856682418,0.156531613441759,-0.126085586845643,0.0508292047637163,-0.440411273268553,0.429186393130166,0.574540562449164
healthy,0.378309333170423,0.267668733877971,0.234103514555225,-0.0226340715227616,-0.28562818289917,-0.394053561595995,0.273682543190388,0.52937032516188
moderate,-0.124331676986876,-0.294841249369524,-0.257386995400524,-0.248355120914099,0.21309991985483,-0.171883981163217,-0.460135152876143,0.067547471531062
moderate,0.263144758027675,0.162950727907933,-0.156377542261718,0.177891615364545,0.421881776591005,-0.399509025323066,-0.0461130410221385,0.329058214001273
moderate,-0.0908664272406149,-0.206124499075413,-0.0726634578104031,-0.300646392654961,-0.331882249123625,0.618166398743126,0.0652205345075239,0.0182610273139448
severe,0.155032844807103,0.192120412029813,0.124573174537419,0.235290867730174,0.782258907449206,0.15013354489171,0.113678455344786,-0.0483444681782607
severe,-0.0132078775624954,-0.155437738636608,-0.499337149701336,-0.0077771658951215,0.111032840335055,0.13921467728013,-0.113064942642053,0.169195199699185
severe,0.53428187698488,0.273842891488298,0.204726273425502,0.462395980992456,0.386830994866804,-0.197661705737403,-0.128568653939298,0.493483189044545
severe,0.148572686709234,0.0733797187645499,0.10608918705063,-0.0648857354600581,0.414674891295871,-0.251215795609313,0.091923283844265,0.542866139329523
