group,CD3,CD45RO,CD16,CD27,CD38,CD94
healthy,0.434589042527503,0.177872530181501,-0.142265058233666,0.362420207243466,0.0708951972096759,0.597096139873009
healthy,0.164956772844387,0.182364499792945,-0.0758582227853243,0.0621254767450475,-0.732893862521263,0.732145504835804
healthy,0.20608821793759,0.0555552220933441,-0.326793494462732,0.17599913179947,-0.225469706969486,0.703058264436956
healthy,0.246222963402825,0.228697070229218,-0.211310697588766,0.331444852271434,-0.288794788096384,0.649148814320388
healthy,0.366831052404193,0.35367006469262,-0.0985107569227405,0.454341310749811,-0.399484766418535,0.610028753108603
moderate,0.020051671274621,0.0615004889304283,-0.112532880621236,0.0831883090735976,0.23549999900005,-0.177153045221902
moderate,0.362068135452054,0.111222682332528,0.316531246464116,0.11197588436608,-0.225264747546819,0.733392862779935
moderate,0.18173492747279,0.0453361950552988,0.302164793189247,0.126536883218909,-0.604528060811407,-0.173747723783176
severe,0.149806912145485,0.178387531560033,-0.232881222274316,0.228986098733639,0.0050047510925991,0.642815931745793
severe,-0.0944240135460711,0.0033962260759917,-0.225493104935431,0.0425033668200974,0.0481830742974238,0.100777475601245
severe,0.161325244504432,0.467300574965249,0.184983819987592,0.125481870058863,-0.340899780285953,0.185043367039303
severe,0.583708609205632,0.0733080106840439,-0.462280654222813,0.34256028378792,-0.455428126690438,-0.084940887072949
