group,CD3,CD95,CD16,CD38,Anti-PE,CD94
healthy,0.225068158723108,-0.0988894989642371,-0.280561816561725,-0.225637624002974,0.0188586656857401,0.403059296104704
healthy,0.124748266231697,0.204413213875337,0.0985654874440729,-0.705658787425593,-0.0407304135921165,0.760758336004275
healthy,0.309902116509413,0.195386469040768,-0.342962406749482,-0.436228237307821,0.155302856448051,0.570264887203189
healthy,0.19478600044795,0.0816555008314061,0.0220258057740592,-0.501255223031278,0.120774293473504,0.621131065568884
healthy,0.357749129101379,0.281379438988984,0.0260383345530821,-0.451450420253147,0.17983110288474,0.527016439841409
moderate,0.122398520275945,0.0601029099621096,0.610673406246571,0.293224931262922,0.136382930908524,0.11470001984691
moderate,0.413835846046701,0.213556468279564,0.544514472344094,-0.219011701707243,0.0844468879959053,0.509942966812292
moderate,0.453687227270105,0.482476173428862,0.367331763799487,-0.45363766485242,0.0408121004858451,0.0323595662268357
severe,0.108019402455727,0.171942244167404,0.675823201332257,0.0967095918429933,0.0301392051437598,0.300094763053028
severe,-0.118267692142446,-0.13617321217169,-0.186185387030774,-0.221496308912308,0.553405786527228,-0.0197513151806136
severe,-0.03257989664154,0.200855886669739,-0.0733025751171244,-0.503179288611005,0.124349480190059,0.326879159190338
severe,0.592773647589453,0.167809432866721,-0.0372120974437123,-0.469695289622188,0.0528837582004693,0.22893517788756
