group,CD3,CD95,CD45RA,CD16,CD11c,CD38,CD94
healthy,-0.126321379380501,-0.0562049965195186,-0.23323335399551,-0.143758836890772,-0.136213241384396,0.0458221668427148,-0.329013315241289
healthy,-0.133320363587241,-0.245744625921248,0.244564406626022,-0.0432222321658584,0.144615812616122,0.756687900217862,-0.730637550827532
healthy,-0.406424598861996,-0.230876167083996,-0.154900809787456,0.448321922895391,0.152652896335601,0.313427227254575,-0.596234293315786
healthy,-0.203686518079378,-0.107803842771975,-0.089193279504765,-0.0216297376783506,-0.0337283351024217,0.30272111004644,-0.513996639639968
healthy,-0.129730182277081,-0.120833160615643,-0.206974862765591,-0.357399814420968,-0.0765692338306791,0.0090603022415424,-0.283556897984973
moderate,-0.215104030487922,-0.0376835020503946,-0.142442083574061,0.458486408336597,0.105533551966846,0.302594582991565,0.183385065351425
moderate,-0.265754223882089,-0.181962842924406,-0.140456807118475,0.0934260015260574,-0.121448226735307,0.0309873720254312,-0.48504387816213
moderate,-0.234350749039772,-0.397885102394386,-0.206026686575699,-0.145987187528022,0.0539280542426475,0.708499122581799,-0.0989429411160501
severe,-0.132522305350189,-0.179840223741772,-0.356579959234127,-0.708608682862438,-0.261665879702168,-0.241945961416833,-0.128230278026107
severe,-0.0019686742349203,0.103816623100739,0.33458400922,0.378846908676696,0.183887063208114,0.539035959316687,-0.15556743881104
severe,0.0869937996457927,-0.114676576746577,-0.236925368061579,0.172840836242104,0.26563585100807,0.226582806230976,-0.188874917623219
severe,-0.45985343494232,-0.0762381409999869,0.0261400816559278,-0.0612238434104049,0.454892815058383,0.645144297411091,0.0018473752459219
