group,CD3,CD95,CD16,CD38,TCR-Va7-2,CD94
healthy,-0.0325997673875877,-0.0189495514752304,0.319746976738913,0.299214295641668,-0.495118811173986,-0.0637852545514002
healthy,-0.112903770247026,-0.202382907577451,-0.246075198077681,0.768112248444028,0.0207064179945062,-0.659760988362248
healthy,-0.0969232818979612,-0.0153945477841008,-0.584289641964974,-0.232742184495746,-0.0052008343283299,0.0781096371814875
healthy,-0.199834687413908,-0.0839274779794665,0.258315345982135,0.603302883578572,-0.234350067005696,-0.436577948998395
healthy,0.146292338482627,0.155768380935263,0.0119414426775644,-0.410483600589814,0.127143728365183,0.563891990829634
moderate,0.173822563891993,-0.0855811767614233,0.151056164859558,0.0364510919888818,-0.215349121522978,-0.157100893825431
moderate,-0.0475729989134562,-0.114266816762731,-0.0237874833307707,-0.342200707785499,-0.209442495473023,-0.0896017971022018
moderate,0.275618996513034,0.522883357066405,0.525282833196586,-0.379183598873266,0.0376121300939165,-0.009642604943279
severe,-0.114260900781249,-0.190664219102914,-0.43243765198631,-0.0403440044390006,-0.0901538248374651,-0.315487615663373
severe,0.128173258699067,-0.0102280753467724,-0.52575497624419,0.0289792164577959,0.0815905612901404,-0.0094312878637001
severe,-0.011738345113496,0.154792753324291,-0.0246280233711291,-0.304081783558318,0.330663356134794,0.0806336136275905
severe,-0.469786714237934,-0.383007897328108,0.0630632951618164,0.0962575892487058,-0.128199061622879,0.494937903186238
