group,CD3,CD8,CD16,CD38,Anti-PE,CD94
healthy,0.4269085802099,0.35622922016744,0.129598465032157,-0.220898474911963,0.319683589039055,0.179057531894869
healthy,0.0976927257600934,0.0959142789289685,-0.0134284018736271,-0.653811493079422,-0.0011206036074793,0.739229564511745
healthy,0.284596760178925,0.0669245480386498,0.012245004668163,-0.0009805485757263,0.335061264804995,0.339086466118108
healthy,0.204409630468197,0.234287135928694,0.298394188979792,-0.0882678027193633,0.13945808215166,0.365656363662745
healthy,0.414346640960163,0.261991224173451,0.078942696592423,-0.318380070989918,0.201280141564826,0.520896943196096
moderate,0.014336698626326,-0.126058628342517,0.337534389985843,0.328177563985171,0.207219375219458,-0.0306116657376259
moderate,0.264320601521247,0.216144013912966,0.541919696428485,0.062528279871357,0.113884014229485,0.374700128449379
moderate,0.248113418904254,0.174518246701349,0.515149225183057,-0.51297737874346,0.0780721036988957,-0.0393997939430734
severe,0.113230350675464,0.144235685969597,0.341560879301259,0.0379538058645747,0.130962506255259,0.427456561261182
severe,-0.102156549612567,-0.106394886063,-0.0411012259459346,-0.112764749415846,0.532355239868467,0.328686530960574
severe,-0.144556180056581,-0.188853622813984,-0.18183690589017,0.432346522390338,-0.0102332489931969,-0.256987571306941
severe,0.627071012849935,0.522447911963598,0.0114164902582865,-0.303904512806722,0.0958868554979294,-0.147958890926266
