group,CD3,CD197,CD45RO,CD16,CD1c,CD38,CD94
healthy,-0.0221911474033194,-0.0370379865687439,-0.0973084021122545,0.134601221723986,0.170000523498451,0.262385744255653,0.332494075577312
healthy,0.162622005935912,0.121773579553544,0.154055501492708,-0.258895982812803,0.0802365850884274,-0.455169964263881,0.571186140257732
healthy,-0.129127888906124,-0.0093396249235533,-0.0658751541927063,-0.114338717565198,0.237461396765959,-0.136715774427702,-0.281696628703536
healthy,0.0718710702606514,-0.0830521665243632,0.119349492432776,0.30447227414628,-0.0300261513218207,0.106229111889377,0.143706216994395
healthy,0.186713776467671,0.107044722710365,0.244583737908594,-0.433764020928809,0.0647539058213095,-0.455716978008398,0.233533445773615
moderate,-0.183523879905534,-0.533242580337277,-0.0788409025543776,-0.0833196934854869,-0.320218675480327,-0.162291701200674,-0.208540232199434
moderate,0.503184026256141,0.0227701632299361,0.22155831167044,0.399417694402848,0.0454860127208613,-0.468077059878687,0.531348419051134
moderate,-0.152048105848752,0.0322697007855211,-0.0890543606428752,-0.0622260177483355,0.0148452098423314,-0.373134077600872,-0.140502067015989
severe,0.121657676957292,0.136516040607471,0.0974883539789094,0.761027908974049,0.110408190297909,0.278365927645913,0.0864899471011892
severe,0.01070522146829,-0.163563111623823,-0.142434924584083,0.622504348936954,-0.115009675475082,0.235726405548778,0.257990540389846
severe,-0.24705280867151,-0.385213615266499,-0.62192636773633,-0.331759998161918,-0.560514411771342,-0.0535348030412959,-0.037631300377747
severe,0.442999254796666,0.0360990425601215,0.25041207786247,0.289613875072056,0.109857583602803,-0.55219888991207,-0.149013936522772
