group,CD3,CD20,CD279,CD197,CD16,CD1c,CD38,CD94
healthy,-0.25364108257235,0.07343714886059,0.508624843344817,0.208615378279131,0.0900946879724859,0.0806328830063238,0.0654460534237318,0.347618211427945
healthy,0.0246897980181105,-0.0807650338534082,0.0344785648110105,-0.026582143766077,0.58037767480862,-0.0128617193225411,-0.530400727386987,0.526301215683477
healthy,0.210910990698476,-0.008096345815163,-0.0586223416545664,-0.0340737056718407,0.289370668413674,0.0703428913064486,-0.327924107307544,0.281915986767812
healthy,0.207829659528927,0.168567152743049,0.127917192990624,0.247360720656208,0.354380618945138,0.163798205471829,-0.23770195995661,0.205515801742152
healthy,0.141311415588822,0.0437162688801808,0.0761191733242985,0.13141022402508,0.257498879569922,0.131488200453352,-0.243044069366175,0.355889028112053
moderate,0.0583171403110304,0.465904904164054,-0.307759755543338,0.319490022669569,0.410327484147854,0.524553962363646,-0.0485586428632719,0.07895963077134
moderate,0.377741919841665,0.115683048862625,0.104067335746665,0.0904976137184686,0.374452057609829,0.127789685360299,-0.027333646198929,0.450790728611374
moderate,-0.296821281204942,-0.0758302169438837,0.0392466488031203,-0.0573764074434416,-0.571383010308508,-0.0660085950804016,0.296458593879662,0.134503283376398
severe,0.094399489218237,0.186432784596669,0.0976381837360664,0.114170712770127,0.741284182782429,0.104428150691093,0.204042993954274,0.183387082584915
severe,0.0255546862486463,0.503048095076156,0.0613357448477701,-0.62912282450947,0.0892219586466418,0.105928387372908,-0.158686908083634,0.183359247019155
severe,0.378570185555373,-0.107597809658953,0.333589411299403,0.2354197646954,0.462185905264856,0.390585635047325,-0.218583352902967,0.362560474003057
severe,0.595551870567619,0.157373725660408,0.0541617871838517,0.0912571270916894,0.0706670133503949,0.0221929547545782,-0.550848395408946,0.0750604633680785
